U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.000302 ; 4.3140714 ; 5.1768857
1.1766667 ; 0.0002435 ; 3.4786614 ; 4.0932249
1.1533333 ; 0.0002086 ; 2.9798957 ; 3.4368131
1.13 ; 0.0001794 ; 2.56353 ; 2.8967889
1.1066667 ; 0.0001535 ; 2.1929414 ; 2.4268552
1.0833333 ; 0.0001297 ; 1.8521486 ; 2.0064943
1.06 ; 0.0001071 ; 1.5304029 ; 1.622227
1.0366667 ; 8.54e-05 ; 1.2193521 ; 1.2640617
1.0133333 ; 6.31e-05 ; 0.9016179 ; 0.9136394
0.99 ; 3.96e-05 ; 0.5662659 ; 0.5606032
0.9666667 ; 1.58e-05 ; 0.225571 ; 0.218052
0.9433333 ; -6.4e-06 ; -0.0918067 ; -0.0866043
0.92 ; -3.6e-05 ; -0.5138459 ; -0.4727382
0.8966667 ; -6.63e-05 ; -0.9477816 ; -0.8498441
0.8733333 ; -9.77e-05 ; -1.3955459 ; -1.2187767
0.85 ; -0.0001326 ; -1.8944029 ; -1.6102424
0.8266667 ; -0.0001709 ; -2.4419343 ; -2.0186657
0.8033333 ; -0.0002098 ; -2.9968914 ; -2.4075028
0.78 ; -0.0002519 ; -3.5989714 ; -2.8071977
0.7566667 ; -0.0002969 ; -4.2421157 ; -3.2098676
0.7333333 ; -0.0003423 ; -4.8902114 ; -3.586155
0.71 ; -0.0003881 ; -5.5436171 ; -3.9359682
0.6866667 ; -0.0004356 ; -6.2233171 ; -4.2733444
0.6633333 ; -0.0004846 ; -6.92272 ; -4.5920709
0.64 ; -0.000532 ; -7.6006771 ; -4.8644334
0.6166667 ; -0.0005798 ; -8.2825486 ; -5.1075716
0.5933333 ; -0.0006242 ; -8.91773 ; -5.2911865
0.57 ; -0.0006684 ; -9.5483514 ; -5.4425603
0.5466667 ; -0.0007099 ; -10.1412386 ; -5.5438771
0.5233333 ; -0.0007491 ; -10.7020457 ; -5.6007373
0.5 ; -0.0007845 ; -11.2067186 ; -5.6033593
0.4766667 ; -0.0008195 ; -11.7074271 ; -5.5805403
0.4533333 ; -0.0008464 ; -12.0919557 ; -5.4816866
0.43 ; -0.0008747 ; -12.4956814 ; -5.373143
0.4066667 ; -0.0008966 ; -12.8082257 ; -5.2086785
0.3833333 ; -0.0009178 ; -13.1108357 ; -5.0258204
0.36 ; -0.0009339 ; -13.3420286 ; -4.8031303
0.3366667 ; -0.0009462 ; -13.5177014 ; -4.5509595
0.3133333 ; -0.0009595 ; -13.7072629 ; -4.2949424
0.29 ; -0.0009685 ; -13.8356271 ; -4.0123319
0.2666667 ; -0.0009777 ; -13.9673343 ; -3.7246225
0.2433333 ; -0.0009864 ; -14.0910771 ; -3.4288288
0.22 ; -0.0009884 ; -14.1205757 ; -3.1065267
0.1966667 ; -0.0009981 ; -14.2587057 ; -2.8042121
0.1733333 ; -0.0010043 ; -14.3470857 ; -2.4868282
0.15 ; -0.0010123 ; -14.4615 ; -2.169225
0.1266667 ; -0.001015 ; -14.4993571 ; -1.8365852
0.1033333 ; -0.0010204 ; -14.5765286 ; -1.5062413
0.08 ; -0.0010235 ; -14.6219143 ; -1.1697531
0.0566667 ; -0.0010278 ; -14.6833571 ; -0.8320569
0.0333333 ; -0.0010348 ; -14.7824286 ; -0.4927476
0.01 ; -0.0010336 ; -14.7660714 ; -0.1476607
-0.0133333 ; -0.0010357 ; -14.7952714 ; 0.1972703
-0.0366667 ; -0.0010432 ; -14.9029143 ; 0.5464402
-0.06 ; -0.0010479 ; -14.9699714 ; 0.8981983
-0.0833333 ; -0.0010491 ; -14.9865429 ; 1.2488786
-0.1066667 ; -0.0010524 ; -15.0346429 ; 1.6036952
-0.13 ; -0.0010513 ; -15.0192857 ; 1.9525071
-0.1533333 ; -0.0010533 ; -15.0477857 ; 2.3073271
-0.1766667 ; -0.0010565 ; -15.0922286 ; 2.6662937
-0.2 ; -0.001059 ; -15.1284571 ; 3.0256914
