U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0019631 ; 24.53865 ; 29.44638
1.1766667 ; 0.0013079 ; 16.3493 ; 19.2376763
1.1533333 ; 0.0011003 ; 13.7533 ; 15.8621393
1.13 ; 0.0009097 ; 11.3716525 ; 12.8499673
1.1066667 ; 0.0007309 ; 9.13622 ; 10.1107501
1.0833333 ; 0.0005636 ; 7.0449225 ; 7.6319994
1.06 ; 0.0004089 ; 5.1115575 ; 5.4182509
1.0366667 ; 0.0002651 ; 3.313675 ; 3.4351764
1.0133333 ; 0.0001287 ; 1.6091575 ; 1.6306129
0.99 ; 1.48e-05 ; 0.1849348 ; 0.1830854
0.9666667 ; -0.0001196 ; -1.494675 ; -1.4448525
0.9433333 ; -0.0002327 ; -2.90878 ; -2.7439491
0.92 ; -0.0003462 ; -4.327525 ; -3.981323
0.8966667 ; -0.0004517 ; -5.6456325 ; -5.0622505
0.8733333 ; -0.000551 ; -6.8876275 ; -6.0151947
0.85 ; -0.0006409 ; -8.011175 ; -6.8094987
0.8266667 ; -0.0007335 ; -9.1691575 ; -7.5798369
0.8033333 ; -0.0008117 ; -10.1461725 ; -8.1507586
0.78 ; -0.0008839 ; -11.04838 ; -8.6177364
0.7566667 ; -0.000945 ; -11.8127825 ; -8.9383388
0.7333333 ; -0.0009999 ; -12.49832 ; -9.1654347
0.71 ; -0.0010451 ; -13.064275 ; -9.2756352
0.6866667 ; -0.0010968 ; -13.71045 ; -9.414509
0.6633333 ; -0.0011322 ; -14.152225 ; -9.3876426
0.64 ; -0.0011585 ; -14.48065 ; -9.267616
0.6166667 ; -0.0011862 ; -14.8276 ; -9.1436867
0.5933333 ; -0.0012009 ; -15.01185 ; -8.907031
0.57 ; -0.0012191 ; -15.23895 ; -8.6862015
0.5466667 ; -0.0012391 ; -15.4885 ; -8.4670467
0.5233333 ; -0.0012495 ; -15.618325 ; -8.1735901
0.5 ; -0.0012601 ; -15.7516 ; -7.8758
0.4766667 ; -0.0012706 ; -15.882575 ; -7.5706941
0.4533333 ; -0.0012777 ; -15.9716 ; -7.2404587
0.43 ; -0.0012849 ; -16.0615 ; -6.906445
0.4066667 ; -0.0012967 ; -16.208775 ; -6.5915685
0.3833333 ; -0.001302 ; -16.2747 ; -6.238635
0.36 ; -0.0013134 ; -16.417 ; -5.91012
0.3366667 ; -0.001317 ; -16.462 ; -5.5422067
0.3133333 ; -0.0013279 ; -16.598825 ; -5.2009652
0.29 ; -0.0013322 ; -16.652625 ; -4.8292612
0.2666667 ; -0.0013397 ; -16.746275 ; -4.4656733
0.2433333 ; -0.0013408 ; -16.759425 ; -4.0781267
0.22 ; -0.0013409 ; -16.7613 ; -3.687486
0.1966667 ; -0.0013459 ; -16.823325 ; -3.3085872
0.1733333 ; -0.0013419 ; -16.77385 ; -2.9074673
0.15 ; -0.0013527 ; -16.90825 ; -2.5362375
0.1266667 ; -0.0013633 ; -17.04095 ; -2.1585203
0.1033333 ; -0.0013583 ; -16.978225 ; -1.7544166
0.08 ; -0.0013624 ; -17.030525 ; -1.362442
0.0566667 ; -0.0013644 ; -17.054875 ; -0.9664429
0.0333333 ; -0.0013673 ; -17.091325 ; -0.5697108
0.01 ; -0.0013772 ; -17.21515 ; -0.1721515
-0.0133333 ; -0.0013693 ; -17.116025 ; 0.2282137
-0.0366667 ; -0.0013801 ; -17.251425 ; 0.6325523
-0.06 ; -0.0013783 ; -17.228575 ; 1.0337145
-0.0833333 ; -0.0013885 ; -17.355625 ; 1.4463021
-0.1066667 ; -0.0013839 ; -17.2991 ; 1.8452373
-0.13 ; -0.0013878 ; -17.3475 ; 2.255175
-0.1533333 ; -0.0013904 ; -17.38045 ; 2.6650023
-0.1766667 ; -0.0013986 ; -17.4827 ; 3.0886103
-0.2 ; -0.0013968 ; -17.4597 ; 3.49194
