U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0004928 ; 7.0405871 ; 8.4487046
1.1766667 ; 0.0004441 ; 6.3438457 ; 7.4645918
1.1533333 ; 0.0004084 ; 5.8346529 ; 6.7292996
1.13 ; 0.0003727 ; 5.3246214 ; 6.0168222
1.1066667 ; 0.0003374 ; 4.8206086 ; 5.3348068
1.0833333 ; 0.0003046 ; 4.3512343 ; 4.7138371
1.06 ; 0.0002724 ; 3.8917586 ; 4.1252641
1.0366667 ; 0.0002419 ; 3.4551614 ; 3.5818507
1.0133333 ; 0.0002128 ; 3.0395714 ; 3.080099
0.99 ; 0.000183 ; 2.6138286 ; 2.5876903
0.9666667 ; 0.0001549 ; 2.2130171 ; 2.1392499
0.9433333 ; 0.0001264 ; 1.8050971 ; 1.7028083
0.92 ; 9.82e-05 ; 1.4027309 ; 1.2905124
0.8966667 ; 6.95e-05 ; 0.9934729 ; 0.890814
0.8733333 ; 4e-05 ; 0.5716544 ; 0.4992449
0.85 ; 1.08e-05 ; 0.1544096 ; 0.1312482
0.8266667 ; -1.98e-05 ; -0.2825166 ; -0.233547
0.8033333 ; -5.09e-05 ; -0.7277919 ; -0.5846595
0.78 ; -8.26e-05 ; -1.1798864 ; -0.9203114
0.7566667 ; -0.0001144 ; -1.6336829 ; -1.2361534
0.7333333 ; -0.0001481 ; -2.11627 ; -1.5519313
0.71 ; -0.0001817 ; -2.5953057 ; -1.8426671
0.6866667 ; -0.0002157 ; -3.08111 ; -2.1156955
0.6633333 ; -0.0002495 ; -3.5642871 ; -2.3643105
0.64 ; -0.0002838 ; -4.0549729 ; -2.5951826
0.6166667 ; -0.0003185 ; -4.5501986 ; -2.8059558
0.5933333 ; -0.0003529 ; -5.0413329 ; -2.9911908
0.57 ; -0.0003858 ; -5.5109614 ; -3.141248
0.5466667 ; -0.0004206 ; -6.0084157 ; -3.2846006
0.5233333 ; -0.000453 ; -6.4714414 ; -3.386721
0.5 ; -0.0004851 ; -6.9305429 ; -3.4652714
0.4766667 ; -0.0005135 ; -7.3360786 ; -3.4968641
0.4533333 ; -0.0005425 ; -7.7506229 ; -3.5136157
0.43 ; -0.0005705 ; -8.1506586 ; -3.5047832
0.4066667 ; -0.0005947 ; -8.4961157 ; -3.4550871
0.3833333 ; -0.0006181 ; -8.8304243 ; -3.384996
0.36 ; -0.0006401 ; -9.1441671 ; -3.2919002
0.3366667 ; -0.0006586 ; -9.4082743 ; -3.1674523
0.3133333 ; -0.0006785 ; -9.69247 ; -3.0369739
0.29 ; -0.0006948 ; -9.9250443 ; -2.8782628
0.2666667 ; -0.0007092 ; -10.1318357 ; -2.7018229
0.2433333 ; -0.0007224 ; -10.3193386 ; -2.5110391
0.22 ; -0.0007364 ; -10.52027 ; -2.3144594
0.1966667 ; -0.0007455 ; -10.6498029 ; -2.0944612
0.1733333 ; -0.0007592 ; -10.8455129 ; -1.8798889
0.15 ; -0.0007661 ; -10.9445343 ; -1.6416801
0.1266667 ; -0.000776 ; -11.08574 ; -1.4041937
0.1033333 ; -0.0007841 ; -11.2011529 ; -1.1574525
0.08 ; -0.000791 ; -11.2994714 ; -0.9039577
0.0566667 ; -0.0007956 ; -11.3651671 ; -0.6440261
0.0333333 ; -0.0008036 ; -11.4802743 ; -0.3826758
0.01 ; -0.0008093 ; -11.5616886 ; -0.1156169
-0.0133333 ; -0.0008181 ; -11.6870486 ; 0.1558273
-0.0366667 ; -0.0008194 ; -11.7058543 ; 0.4292147
-0.06 ; -0.0008249 ; -11.7845786 ; 0.7070747
-0.0833333 ; -0.0008306 ; -11.8664271 ; 0.9888689
-0.1066667 ; -0.0008347 ; -11.9238429 ; 1.2718766
-0.13 ; -0.0008371 ; -11.9587114 ; 1.5546325
-0.1533333 ; -0.0008443 ; -12.0612357 ; 1.8493895
-0.1766667 ; -0.0008453 ; -12.0755743 ; 2.1333515
-0.2 ; -0.0008502 ; -12.1454729 ; 2.4290946
