U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.000532 ; 6.6500063 ; 7.9800075
1.1766667 ; 0.0004168 ; 5.2097875 ; 6.1301833
1.1533333 ; 0.0003537 ; 4.4210712 ; 5.0989688
1.13 ; 0.0002942 ; 3.6779638 ; 4.156099
1.1066667 ; 0.0002371 ; 2.9632112 ; 3.2792871
1.0833333 ; 0.0001827 ; 2.2834875 ; 2.4737781
1.06 ; 0.0001294 ; 1.6170337 ; 1.7140558
1.0366667 ; 7.74e-05 ; 0.9680661 ; 1.0035619
1.0133333 ; 2.47e-05 ; 0.3092232 ; 0.3133462
0.99 ; -3.06e-05 ; -0.3823078 ; -0.3784847
0.9666667 ; -8.63e-05 ; -1.0786062 ; -1.0426527
0.9433333 ; -0.0001448 ; -1.81039 ; -1.7078012
0.92 ; -0.0002054 ; -2.568085 ; -2.3626382
0.8966667 ; -0.0002694 ; -3.3668963 ; -3.0189836
0.8733333 ; -0.0003347 ; -4.1842162 ; -3.6542155
0.85 ; -0.0004031 ; -5.0391325 ; -4.2832626
0.8266667 ; -0.0004726 ; -5.9071913 ; -4.8832781
0.8033333 ; -0.0005447 ; -6.8085412 ; -5.4695281
0.78 ; -0.0006146 ; -7.682995 ; -5.9927361
0.7566667 ; -0.0006843 ; -8.5534013 ; -6.4720736
0.7333333 ; -0.0007512 ; -9.3904612 ; -6.8863382
0.71 ; -0.0008171 ; -10.2135375 ; -7.2516116
0.6866667 ; -0.0008782 ; -10.9778475 ; -7.5381219
0.6633333 ; -0.0009378 ; -11.7228412 ; -7.7761514
0.64 ; -0.0009866 ; -12.3329975 ; -7.8931184
0.6166667 ; -0.0010349 ; -12.9359125 ; -7.977146
0.5933333 ; -0.0010796 ; -13.4948625 ; -8.0069517
0.57 ; -0.0011158 ; -13.947375 ; -7.9500037
0.5466667 ; -0.0011454 ; -14.3181 ; -7.827228
0.5233333 ; -0.0011771 ; -14.7135875 ; -7.7001108
0.5 ; -0.0012018 ; -15.0220375 ; -7.5110187
0.4766667 ; -0.0012233 ; -15.2907625 ; -7.2885968
0.4533333 ; -0.0012444 ; -15.5553875 ; -7.0517757
0.43 ; -0.0012559 ; -15.699325 ; -6.7507097
0.4066667 ; -0.0012721 ; -15.901325 ; -6.4665388
0.3833333 ; -0.0012776 ; -15.969775 ; -6.1217471
0.36 ; -0.0012893 ; -16.116025 ; -5.801769
0.3366667 ; -0.0012991 ; -16.239325 ; -5.4672394
0.3133333 ; -0.0013048 ; -16.309625 ; -5.1103492
0.29 ; -0.0013135 ; -16.4188625 ; -4.7614701
0.2666667 ; -0.0013176 ; -16.4697375 ; -4.39193
0.2433333 ; -0.0013236 ; -16.5445125 ; -4.0258314
0.22 ; -0.0013292 ; -16.6146 ; -3.655212
0.1966667 ; -0.0013383 ; -16.7292375 ; -3.2900834
0.1733333 ; -0.0013393 ; -16.741525 ; -2.9018643
0.15 ; -0.0013377 ; -16.7208625 ; -2.5081294
0.1266667 ; -0.0013489 ; -16.861525 ; -2.1357932
0.1033333 ; -0.0013505 ; -16.8813375 ; -1.7444049
0.08 ; -0.001352 ; -16.899825 ; -1.351986
0.0566667 ; -0.0013587 ; -16.98345 ; -0.9623955
0.0333333 ; -0.0013659 ; -17.0737375 ; -0.5691246
0.01 ; -0.0013619 ; -17.0236125 ; -0.1702361
-0.0133333 ; -0.0013698 ; -17.1223625 ; 0.2282982
-0.0366667 ; -0.0013689 ; -17.11085 ; 0.6273978
-0.06 ; -0.001374 ; -17.1744375 ; 1.0304663
-0.0833333 ; -0.0013748 ; -17.1856 ; 1.4321333
-0.1066667 ; -0.0013782 ; -17.227225 ; 1.8375707
-0.13 ; -0.0013831 ; -17.2892625 ; 2.2476041
-0.1533333 ; -0.00139 ; -17.374875 ; 2.6641475
-0.1766667 ; -0.0013851 ; -17.3138 ; 3.0587713
-0.2 ; -0.0013887 ; -17.3590375 ; 3.4718075
