U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0014022 ; 17.527675 ; 21.03321
1.1766667 ; 0.0011176 ; 13.9704625 ; 16.4385775
1.1533333 ; 0.0009769 ; 12.211515 ; 14.0839473
1.13 ; 0.0008393 ; 10.4912513 ; 11.8551139
1.1066667 ; 0.0007044 ; 8.8056112 ; 9.7448764
1.0833333 ; 0.0005736 ; 7.1704913 ; 7.7680322
1.06 ; 0.0004474 ; 5.5926788 ; 5.9282395
1.0366667 ; 0.0003278 ; 4.0976712 ; 4.2479192
1.0133333 ; 0.0002064 ; 2.5804913 ; 2.6148978
0.99 ; 9.14e-05 ; 1.1421155 ; 1.1306943
0.9666667 ; -1.47e-05 ; -0.1840734 ; -0.1779376
0.9433333 ; -0.0001345 ; -1.6810038 ; -1.5857469
0.92 ; -0.0002459 ; -3.0742612 ; -2.8283203
0.8966667 ; -0.0003543 ; -4.4292612 ; -3.9715709
0.8733333 ; -0.0004587 ; -5.7342638 ; -5.0079237
0.85 ; -0.0005563 ; -6.9534712 ; -5.9104506
0.8266667 ; -0.0006529 ; -8.1614287 ; -6.7467811
0.8033333 ; -0.0007413 ; -9.26645 ; -7.4440482
0.78 ; -0.0008212 ; -10.2649862 ; -8.0066893
0.7566667 ; -0.0008953 ; -11.1913863 ; -8.4681489
0.7333333 ; -0.0009614 ; -12.01709 ; -8.8125327
0.71 ; -0.001018 ; -12.7244125 ; -9.0343329
0.6866667 ; -0.0010685 ; -13.35605 ; -9.1711543
0.6633333 ; -0.0011159 ; -13.94885 ; -9.2527372
0.64 ; -0.0011539 ; -14.4241875 ; -9.23148
0.6166667 ; -0.001191 ; -14.887275 ; -9.1804862
0.5933333 ; -0.0012118 ; -15.147025 ; -8.9872348
0.57 ; -0.0012343 ; -15.4282625 ; -8.7941096
0.5466667 ; -0.0012603 ; -15.7542625 ; -8.6123302
0.5233333 ; -0.0012792 ; -15.990275 ; -8.3682439
0.5 ; -0.001299 ; -16.2377125 ; -8.1188562
0.4766667 ; -0.0013165 ; -16.45625 ; -7.8441458
0.4533333 ; -0.0013214 ; -16.517325 ; -7.487854
0.43 ; -0.0013384 ; -16.73035 ; -7.1940505
0.4066667 ; -0.001351 ; -16.88725 ; -6.8674817
0.3833333 ; -0.0013571 ; -16.9636125 ; -6.5027181
0.36 ; -0.0013731 ; -17.16435 ; -6.179166
0.3366667 ; -0.001383 ; -17.287575 ; -5.8201502
0.3133333 ; -0.0013903 ; -17.37875 ; -5.4453417
0.29 ; -0.0013954 ; -17.443125 ; -5.0585062
0.2666667 ; -0.0014072 ; -17.5897375 ; -4.6905967
0.2433333 ; -0.0014142 ; -17.6769125 ; -4.301382
0.22 ; -0.0014214 ; -17.7670625 ; -3.9087537
0.1966667 ; -0.0014329 ; -17.9118125 ; -3.5226565
0.1733333 ; -0.0014367 ; -17.9581375 ; -3.1127438
0.15 ; -0.0014423 ; -18.0291875 ; -2.7043781
0.1266667 ; -0.0014504 ; -18.13015 ; -2.2964857
0.1033333 ; -0.001455 ; -18.1875125 ; -1.8793763
0.08 ; -0.001459 ; -18.23715 ; -1.458972
0.0566667 ; -0.0014613 ; -18.2662125 ; -1.0350854
0.0333333 ; -0.0014706 ; -18.3829 ; -0.6127633
0.01 ; -0.00147 ; -18.3752125 ; -0.1837521
-0.0133333 ; -0.0014772 ; -18.46465 ; 0.2461953
-0.0366667 ; -0.0014735 ; -18.4193625 ; 0.6753766
-0.06 ; -0.0014823 ; -18.5292125 ; 1.1117528
-0.0833333 ; -0.0014864 ; -18.5795375 ; 1.5482948
-0.1066667 ; -0.0014908 ; -18.63455 ; 1.9876853
-0.13 ; -0.0014972 ; -18.7150375 ; 2.4329549
-0.1533333 ; -0.0014956 ; -18.695275 ; 2.8666088
-0.1766667 ; -0.0015021 ; -18.776825 ; 3.3172391
-0.2 ; -0.0015046 ; -18.807875 ; 3.761575
