U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0014264 ; 17.8302625 ; 21.396315
1.1766667 ; 0.0011961 ; 14.9518625 ; 17.5933582
1.1533333 ; 0.0008755 ; 10.9441612 ; 12.622266
1.13 ; 0.0005582 ; 6.9770675 ; 7.8840863
1.1066667 ; 0.0002764 ; 3.4554612 ; 3.8240438
1.0833333 ; 3.28e-05 ; 0.410409 ; 0.4446097
1.06 ; -0.0001712 ; -2.1395425 ; -2.267915
1.0366667 ; -0.0003424 ; -4.28001 ; -4.4369437
1.0133333 ; -0.0004774 ; -5.9679237 ; -6.0474961
0.99 ; -0.0005897 ; -7.3714963 ; -7.2977813
0.9666667 ; -0.0006747 ; -8.4339775 ; -8.1528449
0.9433333 ; -0.0007441 ; -9.30132 ; -8.7742452
0.92 ; -0.0008023 ; -10.0281275 ; -9.2258773
0.8966667 ; -0.000847 ; -10.587695 ; -9.4936332
0.8733333 ; -0.0008844 ; -11.0552138 ; -9.6548867
0.85 ; -0.0009162 ; -11.4525825 ; -9.7346951
0.8266667 ; -0.0009455 ; -11.8193087 ; -9.7706286
0.8033333 ; -0.0009707 ; -12.1333325 ; -9.7471104
0.78 ; -0.0009923 ; -12.40353 ; -9.6747534
0.7566667 ; -0.0010088 ; -12.6099125 ; -9.5415005
0.7333333 ; -0.0010247 ; -12.8086 ; -9.3929733
0.71 ; -0.001041 ; -13.012425 ; -9.2388217
0.6866667 ; -0.0010578 ; -13.2228 ; -9.079656
0.6633333 ; -0.0010729 ; -13.411 ; -8.8959633
0.64 ; -0.0010838 ; -13.5469375 ; -8.67004
0.6166667 ; -0.0010946 ; -13.6824625 ; -8.4375185
0.5933333 ; -0.0011077 ; -13.84595 ; -8.2152637
0.57 ; -0.0011177 ; -13.9712375 ; -7.9636054
0.5466667 ; -0.001128 ; -14.1005125 ; -7.7082802
0.5233333 ; -0.0011305 ; -14.1316375 ; -7.395557
0.5 ; -0.0011451 ; -14.3134375 ; -7.1567187
0.4766667 ; -0.0011505 ; -14.38185 ; -6.8553485
0.4533333 ; -0.0011615 ; -14.518775 ; -6.5818447
0.43 ; -0.0011716 ; -14.64525 ; -6.2974575
0.4066667 ; -0.0011778 ; -14.722825 ; -5.9872822
0.3833333 ; -0.0011851 ; -14.8134375 ; -5.6784844
0.36 ; -0.0011934 ; -14.9177875 ; -5.3704035
0.3366667 ; -0.0011912 ; -14.890025 ; -5.0129751
0.3133333 ; -0.0012032 ; -15.0394125 ; -4.7123492
0.29 ; -0.001209 ; -15.1127375 ; -4.3826939
0.2666667 ; -0.0012108 ; -15.1349375 ; -4.0359833
0.2433333 ; -0.0012168 ; -15.2095375 ; -3.7009875
0.22 ; -0.0012174 ; -15.2179125 ; -3.3479407
0.1966667 ; -0.0012234 ; -15.2922 ; -3.007466
0.1733333 ; -0.0012303 ; -15.3783375 ; -2.6655785
0.15 ; -0.0012351 ; -15.4392125 ; -2.3158819
0.1266667 ; -0.0012379 ; -15.473425 ; -1.9599672
0.1033333 ; -0.001242 ; -15.525575 ; -1.6043094
0.08 ; -0.0012409 ; -15.511625 ; -1.24093
0.0566667 ; -0.0012521 ; -15.6511125 ; -0.8868964
0.0333333 ; -0.0012481 ; -15.6018125 ; -0.5200604
0.01 ; -0.0012526 ; -15.6572125 ; -0.1565721
-0.0133333 ; -0.0012519 ; -15.648225 ; 0.208643
-0.0366667 ; -0.001258 ; -15.725275 ; 0.5765934
-0.06 ; -0.0012597 ; -15.7461875 ; 0.9447713
-0.0833333 ; -0.0012623 ; -15.7791875 ; 1.3149323
-0.1066667 ; -0.0012659 ; -15.82435 ; 1.6879307
-0.13 ; -0.0012647 ; -15.8083625 ; 2.0550871
-0.1533333 ; -0.0012704 ; -15.880225 ; 2.4349678
-0.1766667 ; -0.0012734 ; -15.9179 ; 2.8121623
-0.2 ; -0.0012743 ; -15.92835 ; 3.18567
