U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0076051 ; 95.063575 ; 114.07629
1.1766667 ; 0.0071807 ; 89.7588375 ; 105.6162321
1.1533333 ; 0.0066202 ; 82.753075 ; 95.4418798
1.13 ; 0.0068277 ; 85.3465125 ; 96.4415591
1.1066667 ; 0.006341 ; 79.262875 ; 87.7175817
1.0833333 ; 0.0060418 ; 75.522375 ; 81.8159062
1.06 ; 0.0056075 ; 70.0939625 ; 74.2996002
1.0366667 ; 0.0052702 ; 65.877525 ; 68.2930342
1.0133333 ; 0.0050711 ; 63.389275 ; 64.2344653
0.99 ; 0.0052477 ; 65.596675 ; 64.9407082
0.9666667 ; 0.0048737 ; 60.9212125 ; 58.8905054
0.9433333 ; 0.004264 ; 53.3004 ; 50.280044
0.92 ; 0.0039797 ; 49.746725 ; 45.766987
0.8966667 ; 0.0036611 ; 45.7638875 ; 41.0349525
0.8733333 ; 0.0032988 ; 41.2345875 ; 36.0115397
0.85 ; 0.0028538 ; 35.6728375 ; 30.3219119
0.8266667 ; 0.0028095 ; 35.118175 ; 29.0310247
0.8033333 ; 0.002889 ; 36.1124375 ; 29.0103248
0.78 ; 0.0023327 ; 29.1592 ; 22.744176
0.7566667 ; 0.0020998 ; 26.247875 ; 19.8608921
0.7333333 ; 0.0019061 ; 23.825725 ; 17.4721983
0.71 ; 0.0016798 ; 20.9969375 ; 14.9078256
0.6866667 ; 0.0014468 ; 18.0852125 ; 12.4185126
0.6633333 ; 0.0012934 ; 16.1670375 ; 10.7241349
0.64 ; 0.0010781 ; 13.4765 ; 8.62496
0.6166667 ; 0.0008186 ; 10.2323012 ; 6.3099191
0.5933333 ; 0.0008222 ; 10.2768975 ; 6.0976258
0.57 ; 0.0005438 ; 6.79812 ; 3.8749284
0.5466667 ; 0.0003754 ; 4.6924912 ; 2.5652285
0.5233333 ; 0.0001942 ; 2.4276162 ; 1.2704525
0.5 ; -4.06e-05 ; -0.5072611 ; -0.2536306
0.4766667 ; -0.0001346 ; -1.6825375 ; -0.8020095
0.4533333 ; -0.0002838 ; -3.5469337 ; -1.6079433
0.43 ; -0.0004032 ; -5.0400425 ; -2.1672183
0.4066667 ; -0.0005318 ; -6.6475825 ; -2.7033502
0.3833333 ; -0.0006308 ; -7.8853463 ; -3.0227161
0.36 ; -0.0007142 ; -8.9276412 ; -3.2139508
0.3366667 ; -0.0007663 ; -9.5786625 ; -3.2248164
0.3133333 ; -0.000886 ; -11.074925 ; -3.4701432
0.29 ; -0.0009459 ; -11.8242263 ; -3.4290256
0.2666667 ; -0.0010732 ; -13.4156 ; -3.5774933
0.2433333 ; -0.0011427 ; -14.283175 ; -3.4755726
0.22 ; -0.0011975 ; -14.96825 ; -3.293015
0.1966667 ; -0.0012438 ; -15.547025 ; -3.0575816
0.1733333 ; -0.001287 ; -16.0875875 ; -2.7885152
0.15 ; -0.00134 ; -16.750575 ; -2.5125862
0.1266667 ; -0.001384 ; -17.3005 ; -2.1913967
0.1033333 ; -0.0014263 ; -17.8286375 ; -1.8422925
0.08 ; -0.0014665 ; -18.3312875 ; -1.466503
0.0566667 ; -0.001508 ; -18.84995 ; -1.0681638
0.0333333 ; -0.0015496 ; -19.369425 ; -0.6456475
0.01 ; -0.0015893 ; -19.866325 ; -0.1986632
-0.0133333 ; -0.0016307 ; -20.3831625 ; 0.2717755
-0.0366667 ; -0.0016681 ; -20.8507125 ; 0.7645261
-0.06 ; -0.0017048 ; -21.3097125 ; 1.2785828
-0.0833333 ; -0.0017442 ; -21.8019375 ; 1.8168281
-0.1066667 ; -0.0017856 ; -22.3196625 ; 2.380764
-0.13 ; -0.0018234 ; -22.7925875 ; 2.9630364
-0.1533333 ; -0.0018621 ; -23.2768625 ; 3.5691189
-0.1766667 ; -0.0018524 ; -23.154625 ; 4.0906504
-0.2 ; -0.0018607 ; -23.2583875 ; 4.6516775
