U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.001286 ; 21.4341333 ; 25.72096
1.1766667 ; 0.0008088 ; 13.4806917 ; 15.8622805
1.1533333 ; 0.000465 ; 7.75065 ; 8.939083
1.13 ; 0.0001868 ; 3.1128067 ; 3.5174715
1.1066667 ; 8.2e-06 ; 0.1359291 ; 0.1504282
1.0833333 ; -0.0002158 ; -3.5965017 ; -3.8962101
1.06 ; -0.0003824 ; -6.3736717 ; -6.756092
1.0366667 ; -0.0005122 ; -8.5366533 ; -8.849664
1.0133333 ; -0.0006203 ; -10.3387133 ; -10.4765628
0.99 ; -0.0007191 ; -11.9852217 ; -11.8653694
0.9666667 ; -0.000799 ; -13.3170433 ; -12.8731419
0.9433333 ; -0.0008669 ; -14.4486567 ; -13.6298995
0.92 ; -0.0009263 ; -15.43871 ; -14.2036132
0.8966667 ; -0.0009733 ; -16.2213267 ; -14.5451229
0.8733333 ; -0.0010176 ; -16.96035 ; -14.812039
0.85 ; -0.0010548 ; -17.5803667 ; -14.9433117
0.8266667 ; -0.0010879 ; -18.13195 ; -14.9890787
0.8033333 ; -0.0011145 ; -18.5751167 ; -14.9220104
0.78 ; -0.001142 ; -19.0341667 ; -14.84665
0.7566667 ; -0.0011709 ; -19.5146833 ; -14.7661104
0.7333333 ; -0.0011919 ; -19.8658333 ; -14.5682778
0.71 ; -0.001216 ; -20.2666 ; -14.389286
0.6866667 ; -0.0012316 ; -20.5271833 ; -14.0953326
0.6633333 ; -0.0012514 ; -20.8559 ; -13.8344137
0.64 ; -0.0012675 ; -21.1256333 ; -13.5204053
0.6166667 ; -0.0012843 ; -21.40485 ; -13.1996575
0.5933333 ; -0.001304 ; -21.73355 ; -12.8952397
0.57 ; -0.0013158 ; -21.9296667 ; -12.49991
0.5466667 ; -0.0013278 ; -22.1294333 ; -12.0974236
0.5233333 ; -0.0013462 ; -22.4362 ; -11.7416113
0.5 ; -0.0013588 ; -22.6469667 ; -11.3234833
0.4766667 ; -0.0013718 ; -22.8627833 ; -10.8979267
0.4533333 ; -0.0013855 ; -23.0917667 ; -10.4682676
0.43 ; -0.0013933 ; -23.2219667 ; -9.9854457
0.4066667 ; -0.0014094 ; -23.4904 ; -9.5527627
0.3833333 ; -0.0014162 ; -23.6028833 ; -9.0477719
0.36 ; -0.0014347 ; -23.9123833 ; -8.608458
0.3366667 ; -0.0014407 ; -24.0114833 ; -8.0838661
0.3133333 ; -0.0014526 ; -24.2095 ; -7.5856433
0.29 ; -0.0014628 ; -24.3798 ; -7.070142
0.2666667 ; -0.0014668 ; -24.4466833 ; -6.5191156
0.2433333 ; -0.0014795 ; -24.6587833 ; -6.0003039
0.22 ; -0.001484 ; -24.7338167 ; -5.4414397
0.1966667 ; -0.0014929 ; -24.8814167 ; -4.8933453
0.1733333 ; -0.001504 ; -25.0664833 ; -4.3448571
0.15 ; -0.0015148 ; -25.24655 ; -3.7869825
0.1266667 ; -0.001516 ; -25.2664667 ; -3.2004191
0.1033333 ; -0.0015249 ; -25.4148667 ; -2.6262029
0.08 ; -0.0015318 ; -25.5307333 ; -2.0424587
0.0566667 ; -0.0015425 ; -25.7082667 ; -1.4568018
0.0333333 ; -0.0015476 ; -25.7937833 ; -0.8597928
0.01 ; -0.0015545 ; -25.9075833 ; -0.2590758
-0.0133333 ; -0.0015629 ; -26.0481167 ; 0.3473082
-0.0366667 ; -0.0015708 ; -26.1804667 ; 0.9599504
-0.06 ; -0.0015665 ; -26.1080667 ; 1.566484
-0.0833333 ; -0.0015725 ; -26.2090167 ; 2.1840847
-0.1066667 ; -0.0015876 ; -26.4602833 ; 2.8224302
-0.13 ; -0.0015914 ; -26.5234667 ; 3.4480507
-0.1533333 ; -0.0015983 ; -26.6379167 ; 4.0844806
-0.1766667 ; -0.0016019 ; -26.6986333 ; 4.7167586
-0.2 ; -0.0016058 ; -26.7636667 ; 5.3527333
