U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.000609 ; 7.6126775 ; 9.135213
1.1766667 ; 0.0003915 ; 4.8936887 ; 5.7582404
1.1533333 ; 0.0003215 ; 4.0183712 ; 4.6345215
1.13 ; 0.0002631 ; 3.2881688 ; 3.7156307
1.1066667 ; 0.0002088 ; 2.60964 ; 2.8880016
1.0833333 ; 0.0001565 ; 1.956185 ; 2.1192004
1.06 ; 0.0001053 ; 1.3156937 ; 1.3946354
1.0366667 ; 5.37e-05 ; 0.6709262 ; 0.6955269
1.0133333 ; 1.2e-06 ; 0.0149195 ; 0.0151184
0.99 ; -5.85e-05 ; -0.7309419 ; -0.7236325
0.9666667 ; -0.0001206 ; -1.5070413 ; -1.4568065
0.9433333 ; -0.0001873 ; -2.3406388 ; -2.2080026
0.92 ; -0.0002583 ; -3.2292775 ; -2.9709353
0.8966667 ; -0.0003342 ; -4.1769713 ; -3.7453509
0.8733333 ; -0.0004138 ; -5.1728275 ; -4.5176027
0.85 ; -0.0004979 ; -6.2234025 ; -5.2898921
0.8266667 ; -0.0005817 ; -7.2716588 ; -6.0112379
0.8033333 ; -0.0006674 ; -8.342765 ; -6.7020212
0.78 ; -0.0007523 ; -9.403465 ; -7.3347027
0.7566667 ; -0.0008363 ; -10.4542012 ; -7.9103456
0.7333333 ; -0.0009211 ; -11.5133687 ; -8.4431371
0.71 ; -0.0009949 ; -12.4363537 ; -8.8298112
0.6866667 ; -0.00107 ; -13.3753 ; -9.1843727
0.6633333 ; -0.0011411 ; -14.2632375 ; -9.4612809
0.64 ; -0.001203 ; -15.0376875 ; -9.62412
0.6166667 ; -0.0012592 ; -15.7401625 ; -9.7064335
0.5933333 ; -0.0013091 ; -16.363175 ; -9.7088172
0.57 ; -0.001356 ; -16.949725 ; -9.6613432
0.5466667 ; -0.0013906 ; -17.3828375 ; -9.5026178
0.5233333 ; -0.0014247 ; -17.809125 ; -9.3201087
0.5 ; -0.0014521 ; -18.1515 ; -9.07575
0.4766667 ; -0.0014723 ; -18.4035875 ; -8.7723767
0.4533333 ; -0.0015017 ; -18.7714375 ; -8.5097183
0.43 ; -0.0015233 ; -19.0407625 ; -8.1875279
0.4066667 ; -0.0015345 ; -19.1817375 ; -7.8005732
0.3833333 ; -0.0015505 ; -19.3808625 ; -7.4293306
0.36 ; -0.0015687 ; -19.608175 ; -7.058943
0.3366667 ; -0.0015714 ; -19.6427125 ; -6.6130465
0.3133333 ; -0.0015857 ; -19.820925 ; -6.2105565
0.29 ; -0.001598 ; -19.9747875 ; -5.7926884
0.2666667 ; -0.0016112 ; -20.139825 ; -5.37062
0.2433333 ; -0.0016103 ; -20.1292375 ; -4.8981145
0.22 ; -0.0016242 ; -20.3023375 ; -4.4665142
0.1966667 ; -0.0016317 ; -20.3963 ; -4.0112723
0.1733333 ; -0.0016416 ; -20.5199375 ; -3.5567892
0.15 ; -0.0016426 ; -20.5327375 ; -3.0799106
0.1266667 ; -0.001648 ; -20.599425 ; -2.6092605
0.1033333 ; -0.0016593 ; -20.74105 ; -2.1432418
0.08 ; -0.0016578 ; -20.722375 ; -1.65779
0.0566667 ; -0.0016714 ; -20.8928625 ; -1.1839289
0.0333333 ; -0.0016739 ; -20.924225 ; -0.6974742
0.01 ; -0.0016816 ; -21.0204 ; -0.210204
-0.0133333 ; -0.0016877 ; -21.0960625 ; 0.2812808
-0.0366667 ; -0.0016893 ; -21.1163 ; 0.7742643
-0.06 ; -0.0017046 ; -21.3073625 ; 1.2784418
-0.0833333 ; -0.0016952 ; -21.1898625 ; 1.7658219
-0.1066667 ; -0.0017069 ; -21.336225 ; 2.275864
-0.13 ; -0.0017077 ; -21.3460125 ; 2.7749816
-0.1533333 ; -0.001719 ; -21.4873 ; 3.2947193
-0.1766667 ; -0.0017162 ; -21.4519375 ; 3.7898423
-0.2 ; -0.0017233 ; -21.541575 ; 4.308315
