Eil.Nr.   ;hv, [eV]  ;Cor(N/Le) [min-1];Cor(N/Lq) [min-1];Ni vertė  ;Ni/min.   ;Sqrt(Ni)  ;Dujos   ;E.light     ;Q.Light     ;Laikas    ;

0         ;Tamsa     ;36        ;36        ;3         ;36        ;6         ;200       ;-1        ;-1        ;14:31:56  ;
1         ;Tamsa     ;24        ;24        ;2         ;24        ;5         ;200       ;-1        ;-1        ;14:32:03  ;
2         ;Tamsa     ;36        ;36        ;3         ;36        ;6         ;200       ;-1        ;-1        ;14:32:09  ;
3         ;4,5       ;16        ;14        ;1         ;12        ;3         ;200       ;0,740906  ;0,83348   ;14:32:17  ;
4         ;4,5       ;16        ;14        ;1         ;12        ;3         ;201       ;0,740906  ;0,83348   ;14:32:23  ;
5         ;4,5       ;0         ;0         ;0         ;0         ;0         ;201       ;0,740906  ;0,83348   ;14:32:30  ;
6         ;4,525     ;79        ;71        ;5         ;60        ;8         ;201       ;0,7593    ;0,84945   ;14:32:37  ;
7         ;4,525     ;16        ;14        ;1         ;12        ;3         ;203       ;0,7593    ;0,84945   ;14:32:44  ;
8         ;4,525     ;79        ;71        ;5         ;60        ;8         ;203       ;0,7593    ;0,84945   ;14:32:50  ;
9         ;4,55      ;15        ;14        ;1         ;12        ;3         ;202       ;0,777667  ;0,86522   ;14:32:58  ;
10        ;4,55      ;31        ;28        ;2         ;24        ;5         ;201       ;0,777667  ;0,86522   ;14:33:05  ;
11        ;4,55      ;31        ;28        ;2         ;24        ;5         ;200       ;0,777667  ;0,86522   ;14:33:11  ;
12        ;4,575     ;0         ;0         ;0         ;0         ;0         ;199       ;0,7957    ;0,88045   ;14:33:19  ;
13        ;4,575     ;15        ;14        ;1         ;12        ;3         ;200       ;0,7957    ;0,88045   ;14:33:25  ;
14        ;4,575     ;45        ;41        ;3         ;36        ;6         ;200       ;0,7957    ;0,88045   ;14:33:32  ;
15        ;4,6       ;15        ;13        ;1         ;12        ;3         ;200       ;0,813734  ;0,89551   ;14:33:39  ;
16        ;4,6       ;44        ;40        ;3         ;36        ;6         ;200       ;0,813734  ;0,89551   ;14:33:46  ;
17        ;4,6       ;15        ;13        ;1         ;12        ;3         ;200       ;0,813734  ;0,89551   ;14:33:52  ;
18        ;4,625     ;0         ;0         ;0         ;0         ;0         ;200       ;0,829     ;0,90738   ;14:34:00  ;
19        ;4,625     ;72        ;66        ;5         ;60        ;8         ;200       ;0,829     ;0,90738   ;14:34:06  ;
20        ;4,625     ;14        ;13        ;1         ;12        ;3         ;200       ;0,829     ;0,90738   ;14:34:13  ;
21        ;4,65      ;14        ;13        ;1         ;12        ;3         ;200       ;0,844312  ;0,91917   ;14:34:21  ;
22        ;4,65      ;14        ;13        ;1         ;12        ;3         ;200       ;0,844312  ;0,91917   ;14:34:27  ;
23        ;4,65      ;14        ;13        ;1         ;12        ;3         ;200       ;0,844312  ;0,91917   ;14:34:34  ;
24        ;4,675     ;14        ;13        ;1         ;12        ;3         ;200       ;0,8596    ;0,93081   ;14:34:41  ;
25        ;4,675     ;42        ;39        ;3         ;36        ;6         ;201       ;0,8596    ;0,93081   ;14:34:48  ;
26        ;4,675     ;0         ;0         ;0         ;0         ;0         ;201       ;0,8596    ;0,93081   ;14:34:54  ;
27        ;4,7       ;14        ;13        ;1         ;12        ;3         ;201       ;0,874955  ;0,9424    ;14:35:02  ;
28        ;4,7       ;0         ;0         ;0         ;0         ;0         ;201       ;0,874955  ;0,9424    ;14:35:08  ;
29        ;4,7       ;0         ;0         ;0         ;0         ;0         ;201       ;0,874955  ;0,9424    ;14:35:15  ;
30        ;4,725     ;27        ;25        ;2         ;24        ;5         ;203       ;0,8874    ;0,95074   ;14:35:22  ;
31        ;4,725     ;27        ;25        ;2         ;24        ;5         ;201       ;0,8874    ;0,95074   ;14:35:29  ;
32        ;4,725     ;14        ;13        ;1         ;12        ;3         ;201       ;0,8874    ;0,95074   ;14:35:35  ;
33        ;4,75      ;40        ;38        ;3         ;36        ;6         ;200       ;0,899801  ;0,95895   ;14:35:43  ;
34        ;4,75      ;13        ;13        ;1         ;12        ;3         ;200       ;0,899801  ;0,95895   ;14:35:50  ;
35        ;4,75      ;27        ;25        ;2         ;24        ;5         ;200       ;0,899801  ;0,95895   ;14:35:56  ;
36        ;4,775     ;13        ;12        ;1         ;12        ;3         ;200       ;0,9102    ;0,96496   ;14:36:04  ;
37        ;4,775     ;66        ;62        ;5         ;60        ;8         ;201       ;0,9102    ;0,96496   ;14:36:10  ;
38        ;4,775     ;13        ;12        ;1         ;12        ;3         ;201       ;0,9102    ;0,96496   ;14:36:17  ;
39        ;4,8       ;39        ;37        ;3         ;36        ;6         ;200       ;0,920673  ;0,97098   ;14:36:24  ;
40        ;4,8       ;13        ;12        ;1         ;12        ;3         ;199       ;0,920673  ;0,97098   ;14:36:31  ;
41        ;4,8       ;26        ;25        ;2         ;24        ;5         ;200       ;0,920673  ;0,97098   ;14:36:37  ;
42        ;4,825     ;0         ;0         ;0         ;0         ;0         ;200       ;0,9309    ;0,97668   ;14:36:45  ;
43        ;4,825     ;39        ;37        ;3         ;36        ;6         ;200       ;0,9309    ;0,97668   ;14:36:51  ;
44        ;4,825     ;64        ;61        ;5         ;60        ;8         ;201       ;0,9309    ;0,97668   ;14:36:58  ;
45        ;4,85      ;25        ;24        ;2         ;24        ;5         ;201       ;0,941189  ;0,98238   ;14:37:06  ;
46        ;4,85      ;0         ;0         ;0         ;0         ;0         ;207       ;0,941189  ;0,98238   ;14:37:12  ;
47        ;4,85      ;25        ;24        ;2         ;24        ;5         ;201       ;0,941189  ;0,98238   ;14:37:19  ;
48        ;4,875     ;88        ;85        ;7         ;84        ;9         ;200       ;0,9512    ;0,98774   ;14:37:26  ;
49        ;4,875     ;13        ;12        ;1         ;12        ;3         ;200       ;0,9512    ;0,98774   ;14:37:33  ;
50        ;4,875     ;50        ;49        ;4         ;48        ;7         ;200       ;0,9512    ;0,98774   ;14:37:39  ;
51        ;4,9       ;62        ;60        ;5         ;60        ;8         ;199       ;0,961218  ;0,99305   ;14:37:47  ;
52        ;4,9       ;37        ;36        ;3         ;36        ;6         ;199       ;0,961218  ;0,99305   ;14:37:53  ;
53        ;4,9       ;37        ;36        ;3         ;36        ;6         ;200       ;0,961218  ;0,99305   ;14:38:00  ;
54        ;4,925     ;37        ;36        ;3         ;36        ;6         ;200       ;0,9681    ;0,99508   ;14:38:07  ;
55        ;4,925     ;12        ;12        ;1         ;12        ;3         ;200       ;0,9681    ;0,99508   ;14:38:14  ;
56        ;4,925     ;12        ;12        ;1         ;12        ;3         ;200       ;0,9681    ;0,99508   ;14:38:20  ;
57        ;4,95      ;25        ;24        ;2         ;24        ;5         ;200       ;0,974934  ;0,99705   ;14:38:28  ;
58        ;4,95      ;25        ;24        ;2         ;24        ;5         ;200       ;0,974934  ;0,99705   ;14:38:35  ;
59        ;4,95      ;25        ;24        ;2         ;24        ;5         ;201       ;0,974934  ;0,99705   ;14:38:41  ;
60        ;4,975     ;37        ;36        ;3         ;36        ;6         ;201       ;0,9813    ;0,99851   ;14:38:49  ;
61        ;4,975     ;49        ;48        ;4         ;48        ;7         ;201       ;0,9813    ;0,99851   ;14:38:55  ;
62        ;4,975     ;37        ;36        ;3         ;36        ;6         ;201       ;0,9813    ;0,99851   ;14:39:02  ;
63        ;5         ;49        ;48        ;4         ;48        ;7         ;202       ;0,98768   ;0,99998   ;14:39:09  ;
64        ;5         ;36        ;36        ;3         ;36        ;6         ;201       ;0,98768   ;0,99998   ;14:39:16  ;
65        ;5         ;36        ;36        ;3         ;36        ;6         ;201       ;0,98768   ;0,99998   ;14:39:22  ;
66        ;5,025     ;73        ;72        ;6         ;72        ;8         ;200       ;0,9909    ;0,99825   ;14:39:30  ;
67        ;5,025     ;97        ;96        ;8         ;96        ;10        ;200       ;0,9909    ;0,99825   ;14:39:36  ;
68        ;5,025     ;73        ;72        ;6         ;72        ;8         ;200       ;0,9909    ;0,99825   ;14:39:43  ;
69        ;5,05      ;193       ;193       ;16        ;192       ;14        ;200       ;0,994183  ;0,9966    ;14:39:51  ;
70        ;5,05      ;97        ;96        ;8         ;96        ;10        ;201       ;0,994183  ;0,9966    ;14:39:57  ;
71        ;5,05      ;145       ;144       ;12        ;144       ;12        ;200       ;0,994183  ;0,9966    ;14:40:04  ;
72        ;5,075     ;217       ;218       ;18        ;216       ;15        ;201       ;0,9948    ;0,9923    ;14:40:11  ;
73        ;5,075     ;72        ;73        ;6         ;72        ;8         ;201       ;0,9948    ;0,9923    ;14:40:18  ;
74        ;5,075     ;217       ;218       ;18        ;216       ;15        ;201       ;0,9948    ;0,9923    ;14:40:24  ;
75        ;5,1       ;241       ;243       ;20        ;240       ;15        ;202       ;0,995384  ;0,98802   ;14:40:32  ;
76        ;5,1       ;205       ;206       ;17        ;204       ;14        ;202       ;0,995384  ;0,98802   ;14:40:38  ;
77        ;5,1       ;265       ;267       ;22        ;264       ;16        ;203       ;0,995384  ;0,98802   ;14:40:45  ;
