Eilė,Miestas,2021 m.,2011 m.,2001 m.,1989 m.,1979 m.,1970 m.,1959 m.,1923 m.,1897 m.,Tankumas (2019)
76,Gelgaudiškis,1572,1761,2029,2724,2018,1835,1212,613,691,437 žm./km²
75,Pagėgiai,1576,1941,2393,2568,2696,3332,3436,1404,662,356 žm./km²
74,Ežerėlis,1640,1820,2051,2151,2060,2110,2189,132,,705 žm./km²
73,Vilkija,1762,2131,2338,2629,2371,2277,1957,2068,2012,682 žm./km²
72,Tytuvėnai,1850,2302,2851,3058,3111,3145,2206,1164,1000,186 žm./km²
71,Rūdiškės,1985,2300,2559,2489,2249,2037,1483,(??),(?),487 žm./km²
70,Viekšniai,2249,1938,2270,2410,2781,2731,2374,2024,2951,599 žm./km²
69,Venta,2250,2392,3412,3827,3240,2534,1718,,,612 žm./km²
68,Akmenė,2355,2593,3140,3458,3075,2499,1819,1453,1501,775 žm./km²
67,Šeduva,2421,2895,3400,3584,3347,3309,3253,3186,4474*,463 žm./km²
66,Ariogala,2743,3208,3697,4033,3646,2979,2360,1197,2376,573 žm./km²
65,Eišiškės,2908,3416,3765,3789,3467,3477,2532,2382,3196,429 žm./km²
64,Birštonas,3072,2646,3225,3537,2350,2228,1317,268,343,177 žm./km²
63,Žiežmariai,3158,3607,3884,3523,2622,1733,1598,2346,2616,828 žm./km²
62,Rietavas,3234,3251,3979,4490,4072,3421,2882,1720,3000,659 žm./km²
61,Neringa,3609,2570,2386,2478,2242,1944,1468,,,39 žm./km²
60,Kalvarija,3982,4457,5090,5701,5879,5600,4698,4529,9378*,669 žm./km²
59,Lazdijai,4016,4531,5140,5485,4364,3928,3109,2364,2538,756 žm./km²
58,Kybartai,4126,5631,6556,7064,6676,6430,6240,6300,2364,959 žm./km²
57,Vievis,4311,4915,5303,5663,4581,2957,2275,414,725,1070 žm./km²
56,Švenčionys,4448,4963,5684,6469,5284,4616,4006,(??),6025*,641 žm./km²
55,Pakruojis,4594,5139,6057,6218,4809,3852,2427,1184,1420,1088 žm./km²
54,Šilalė,4729,5492,6281,6308,4242,2975,1972,1058,1502,1353 žm./km²
53,Švenčionėliai,4748,5771,6923,7712,6566,5964,4920,(??),(?),819 žm./km²
52,Nemenčinė,4831,5054,5892,5612,4075,3208,2081,(??),420,940 žm./km²
51,Pabradė,4918,5994,6525,7360,6655,5919,4489,1835,503,487 žm./km²
50,Ignalina,5106,6007,6591,6872,4927,3515,2466,1500,300,701 žm./km²
49,Trakai,5426,4933,5725,6703,5763,4667,3075,(??),3240*,358 žm./km²
48,Šakiai,5462,6051,6795,7226,5955,4227,2998,2044,2211*,714 žm./km²
47,Skuodas,5508,6513,7896,8730,7269,4693,3131,3614,3041,1054 žm./km²
46,Kazlų Rūda,5590,6635,7401,7715,6312,4397,3478,1338,771,1409 žm./km²
45,Molėtai,5782,6434,7221,6843,5165,3665,1912,1770,2397,1454 žm./km²
44,Širvintos,5827,6415,7273,7442,5146,3073,1652,2000,1676,1389 žm./km²
43,Zarasai,6077,7165,8365,8916,7250,6605,4717,3785,6359*,473 žm./km²
42,Kupiškis,6218,7206,8451,8786,6307,4876,4127,2672,3742,920 žm./km²
41,Pasvalys,6451,7523,8709,9071,7370,6027,4248,2211,1699,877 žm./km²
40,Šalčininkai,6857,6358,6722,6480,3857,1753,1676,687,459,2253 žm./km²
39,Kelmė,7688,9150,10900,11557,9073,7087,5140,2900,3914,955 žm./km²
38,Naujoji Akmenė,7985,9300,12345,13590,14195,10175,5410,,,780 žm./km²
37,Varėna,8202,9240,10845,12291,8015,4494,2391,407,2624,675 žm./km²
36,Kaišiadorys,8380,8664,10002,10964,9022,4701,3011,1929,833,490 žm./km²
35,Joniškis,8612,9899,11329,11773,9303,7522,5889,4100,4828,925 žm./km²
