  E[eV]   Ni[c/min]   EQQ/s     EEQ/s     O2[%]     t[now]  
============================================================
  Tamsa       0        0.00      0.00      4.00    16:46:52 
  4.500       60       1.20      1.35      4.07    16:46:59 
  4.500       48       0.96      1.08      4.07    16:47:04 
  4.500       60       1.20      1.35      3.93    16:47:10 
  4.525       48       0.94      1.05      3.93    16:47:15 
  4.525       24       0.47      0.53      4.00    16:47:21 
  4.525       12       0.24      0.26      4.00    16:47:26 
  4.550      144       2.77      3.09      4.00    16:47:32 
  4.550       48       0.92      1.03      4.00    16:47:37 
  4.550       48       0.92      1.03      4.07    16:47:43 
  4.575       72       1.36      1.51      4.07    16:47:48 
  4.575       84       1.59      1.76      3.93    16:47:54 
  4.575       48       0.91      1.01      3.93    16:47:59 
  4.600       24       0.45      0.49      4.00    16:48:05 
  4.600       24       0.45      0.49      4.00    16:48:11 
  4.600       24       0.45      0.49      4.00    16:48:16 
  4.625       48       0.88      0.97      4.00    16:48:22 
  4.625      120       2.20      2.41      4.07    16:48:27 
  4.625       60       1.10      1.21      4.07    16:48:33 
  4.650       36       0.65      0.71      4.00    16:48:38 
  4.650       24       0.44      0.47      3.93    16:48:44 
  4.650       96       1.74      1.90      4.00    16:48:49 
  4.675      156       2.79      3.02      4.00    16:48:55 
  4.675       48       0.86      0.93      4.00    16:49:00 
  4.675      120       2.15      2.33      4.07    16:49:06 
  4.700       48       0.85      0.91      4.07    16:49:11 
  4.700       48       0.85      0.91      4.07    16:49:17 
  4.700       96       1.70      1.83      3.93    16:49:22 
  4.725       36       0.63      0.68      3.93    16:49:28 
  4.725       72       1.26      1.35      4.00    16:49:33 
  4.725      108       1.89      2.03      4.00    16:49:39 
  4.750       72       1.25      1.33      4.00    16:49:44 
  4.750       36       0.63      0.67      4.00    16:49:50 
  4.750       60       1.04      1.11      4.07    16:49:55 
  4.775      108       1.87      1.98      4.07    16:50:01 
  4.775       12       0.21      0.22      3.93    16:50:06 
  4.775       48       0.83      0.88      3.93    16:50:12 
  4.800       84       1.44      1.52      4.00    16:50:17 
  4.800       48       0.82      0.87      4.00    16:50:23 
  4.800      264       4.53      4.78      4.00    16:50:28 
  4.825      132       2.25      2.36      4.07    16:50:34 
