U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0500062 ; 714.3747143 ; 857.2496571
1.1766667 ; 0.0500064 ; 714.3765714 ; 840.583099
1.1533333 ; 0.0500065 ; 714.3781429 ; 823.9161248
1.13 ; 0.0500065 ; 714.3784286 ; 807.2476243
1.1066667 ; 0.0500066 ; 714.3792857 ; 790.5797429
1.0833333 ; 0.0500067 ; 714.3811429 ; 773.9129048
1.06 ; 0.0500065 ; 714.3792857 ; 757.2420429
1.0366667 ; 0.0500065 ; 714.3787143 ; 740.5726005
1.0133333 ; 0.0496369 ; 709.098 ; 718.55264
0.99 ; 0.0484812 ; 692.588 ; 685.66212
0.9666667 ; 0.0473432 ; 676.3312857 ; 653.7869095
0.9433333 ; 0.0462054 ; 660.0768571 ; 622.6725019
0.92 ; 0.0450586 ; 643.694 ; 592.19848
0.8966667 ; 0.0438999 ; 627.1412857 ; 562.3366862
0.8733333 ; 0.0427297 ; 610.4247143 ; 533.1042505
0.85 ; 0.0415786 ; 593.9797143 ; 504.8827571
0.8266667 ; 0.0404278 ; 577.54 ; 477.4330667
0.8033333 ; 0.0392818 ; 561.1685714 ; 450.805419
0.78 ; 0.0381355 ; 544.7922857 ; 424.9379829
0.7566667 ; 0.0369774 ; 528.249 ; 399.70841
0.7333333 ; 0.035807 ; 511.5292857 ; 375.1214762
0.71 ; 0.0346516 ; 495.0232857 ; 351.4665329
0.6866667 ; 0.0334945 ; 478.493 ; 328.5651933
0.6633333 ; 0.0323337 ; 461.91 ; 306.4003
0.64 ; 0.03118 ; 445.4285714 ; 285.0742857
0.6166667 ; 0.0300184 ; 428.8342857 ; 264.4478095
0.5933333 ; 0.0288635 ; 412.335 ; 244.6521
0.57 ; 0.0277126 ; 395.8945714 ; 225.6599057
0.5466667 ; 0.0265572 ; 379.3882857 ; 207.3989295
0.5233333 ; 0.0253922 ; 362.7458571 ; 189.8369986
0.5 ; 0.0242336 ; 346.1948571 ; 173.0974286
0.4766667 ; 0.0230745 ; 329.6357143 ; 157.1263571
0.4533333 ; 0.0219224 ; 313.1765714 ; 141.973379
0.43 ; 0.0207648 ; 296.6398571 ; 127.5551386
0.4066667 ; 0.0196161 ; 280.2305714 ; 113.9604324
0.3833333 ; 0.0184667 ; 263.8097143 ; 101.1270571
0.36 ; 0.0173121 ; 247.3155714 ; 89.0336057
0.3366667 ; 0.016173 ; 231.0427143 ; 77.7843805
0.3133333 ; 0.0150268 ; 214.6687143 ; 67.2628638
0.29 ; 0.0138824 ; 198.3204286 ; 57.5129243
0.2666667 ; 0.0127396 ; 181.994 ; 48.5317333
0.2433333 ; 0.0116017 ; 165.7392857 ; 40.3298929
0.22 ; 0.0104557 ; 149.367 ; 32.86074
0.1966667 ; 0.0093209 ; 133.1554714 ; 26.1872427
0.1733333 ; 0.0081863 ; 116.9476714 ; 20.2709297
0.15 ; 0.0070573 ; 100.8180429 ; 15.1227064
0.1266667 ; 0.0059337 ; 84.7669714 ; 10.7371497
0.1033333 ; 0.0048117 ; 68.7384 ; 7.102968
0.08 ; 0.0036992 ; 52.8464286 ; 4.2277143
0.0566667 ; 0.0025889 ; 36.9835857 ; 2.0957365
0.0333333 ; 0.0014843 ; 21.2043857 ; 0.7068129
0.01 ; 0.0003868 ; 5.5254829 ; 0.0552548
-0.0133333 ; -0.0006848 ; -9.7822143 ; 0.1304295
-0.0366667 ; -0.0017513 ; -25.0183571 ; 0.9173398
-0.06 ; -0.0028195 ; -40.2789286 ; 2.4167357
-0.0833333 ; -0.0038714 ; -55.3050429 ; 4.6087536
-0.1066667 ; -0.0049096 ; -70.1372429 ; 7.4813059
-0.13 ; -0.005933 ; -84.7564286 ; 11.0183357
-0.1533333 ; -0.0069643 ; -99.4898286 ; 15.255107
-0.1766667 ; -0.0079887 ; -114.1239143 ; 20.1618915
-0.2 ; -0.0089868 ; -128.3832714 ; 25.6766543
