U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0006881 ; 8.6006912 ; 10.3208295
1.1766667 ; 0.0004555 ; 5.6938275 ; 6.699737
1.1533333 ; 0.0003707 ; 4.6340262 ; 5.3445769
1.13 ; 0.0002944 ; 3.6801725 ; 4.1585949
1.1066667 ; 0.0002224 ; 2.7796025 ; 3.0760934
1.0833333 ; 0.0001547 ; 1.9336775 ; 2.0948173
1.06 ; 9.02e-05 ; 1.1275575 ; 1.1952109
1.0366667 ; 2.74e-05 ; 0.3420727 ; 0.3546154
1.0133333 ; -3.46e-05 ; -0.4330656 ; -0.4388398
0.99 ; -9.81e-05 ; -1.2265325 ; -1.2142672
0.9666667 ; -0.0001611 ; -2.0140463 ; -1.9469114
0.9433333 ; -0.0002275 ; -2.8438712 ; -2.6827185
0.92 ; -0.0002951 ; -3.6890275 ; -3.3939053
0.8966667 ; -0.0003657 ; -4.5706525 ; -4.0983517
0.8733333 ; -0.0004373 ; -5.46659 ; -4.7741553
0.85 ; -0.0005107 ; -6.3832375 ; -5.4257519
0.8266667 ; -0.0005835 ; -7.2936238 ; -6.0293956
0.8033333 ; -0.0006525 ; -8.1559512 ; -6.5519475
0.78 ; -0.0007252 ; -9.0656212 ; -7.0711846
0.7566667 ; -0.0007939 ; -9.9233937 ; -7.5087013
0.7333333 ; -0.0008576 ; -10.7194725 ; -7.8609465
0.71 ; -0.0009137 ; -11.4214075 ; -8.1091993
0.6866667 ; -0.0009704 ; -12.1296775 ; -8.3290452
0.6633333 ; -0.0010129 ; -12.6607875 ; -8.3983224
0.64 ; -0.0010624 ; -13.2795625 ; -8.49892
0.6166667 ; -0.0010987 ; -13.733675 ; -8.4690996
0.5933333 ; -0.001131 ; -14.1370375 ; -8.3879756
0.57 ; -0.0011618 ; -14.5227625 ; -8.2779746
0.5466667 ; -0.0011811 ; -14.76325 ; -8.0705767
0.5233333 ; -0.0012039 ; -15.0483125 ; -7.8752835
0.5 ; -0.0012202 ; -15.252875 ; -7.6264375
0.4766667 ; -0.0012368 ; -15.459475 ; -7.3690164
0.4533333 ; -0.0012521 ; -15.6515125 ; -7.0953523
0.43 ; -0.0012585 ; -15.731075 ; -6.7643622
0.4066667 ; -0.001273 ; -15.91245 ; -6.471063
0.3833333 ; -0.0012791 ; -15.9882 ; -6.12881
0.36 ; -0.001294 ; -16.17445 ; -5.822802
0.3366667 ; -0.0013028 ; -16.2855375 ; -5.4827976
0.3133333 ; -0.0013033 ; -16.2907875 ; -5.1044467
0.29 ; -0.0013169 ; -16.46135 ; -4.7737915
0.2666667 ; -0.0013206 ; -16.507875 ; -4.4021
0.2433333 ; -0.0013233 ; -16.540975 ; -4.0249706
0.22 ; -0.0013332 ; -16.66535 ; -3.666377
0.1966667 ; -0.0013322 ; -16.6521375 ; -3.2749204
0.1733333 ; -0.0013408 ; -16.7595 ; -2.90498
0.15 ; -0.0013411 ; -16.763325 ; -2.5144987
0.1266667 ; -0.0013517 ; -16.896075 ; -2.1401695
0.1033333 ; -0.0013544 ; -16.93 ; -1.7494333
0.08 ; -0.0013502 ; -16.8779125 ; -1.350233
0.0566667 ; -0.0013639 ; -17.0489875 ; -0.9661093
0.0333333 ; -0.0013664 ; -17.0799625 ; -0.5693321
0.01 ; -0.0013662 ; -17.07735 ; -0.1707735
-0.0133333 ; -0.0013702 ; -17.1276375 ; 0.2283685
-0.0366667 ; -0.0013745 ; -17.1808875 ; 0.6299659
-0.06 ; -0.0013811 ; -17.2639125 ; 1.0358348
-0.0833333 ; -0.00138 ; -17.2495375 ; 1.4374615
-0.1066667 ; -0.001383 ; -17.2872875 ; 1.8439773
-0.13 ; -0.0013825 ; -17.281275 ; 2.2465658
-0.1533333 ; -0.0013919 ; -17.3986875 ; 2.6677988
-0.1766667 ; -0.0013905 ; -17.381275 ; 3.0706919
-0.2 ; -0.0013946 ; -17.4326125 ; 3.4865225
