U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0058011 ; 82.8730714 ; 99.4476857
1.1766667 ; 0.0048961 ; 69.9444 ; 82.301244
1.1533333 ; 0.0044403 ; 63.4333857 ; 73.1598382
1.13 ; 0.0040692 ; 58.1310429 ; 65.6880784
1.1066667 ; 0.0037484 ; 53.5479429 ; 59.2597234
1.0833333 ; 0.003467 ; 49.5285429 ; 53.6559214
1.06 ; 0.0032126 ; 45.8940714 ; 48.6477157
1.0366667 ; 0.0029776 ; 42.5374429 ; 44.0971491
1.0133333 ; 0.0027632 ; 39.4740429 ; 40.0003634
0.99 ; 0.0025587 ; 36.5526429 ; 36.1871164
0.9666667 ; 0.0023735 ; 33.9076714 ; 32.7774157
0.9433333 ; 0.0021989 ; 31.4124571 ; 29.6324179
0.92 ; 0.0020355 ; 29.0779 ; 26.751668
0.8966667 ; 0.0018799 ; 26.8559857 ; 24.0808672
0.8733333 ; 0.0017327 ; 24.7527714 ; 21.6174204
0.85 ; 0.0015921 ; 22.7448286 ; 19.3331043
0.8266667 ; 0.0014581 ; 20.8300286 ; 17.2194903
0.8033333 ; 0.0013287 ; 18.9815571 ; 15.2485176
0.78 ; 0.0012039 ; 17.1980857 ; 13.4145069
0.7566667 ; 0.0010829 ; 15.4705 ; 11.7060117
0.7333333 ; 0.0009657 ; 13.7954543 ; 10.1166665
0.71 ; 0.0008516 ; 12.16585 ; 8.6377535
0.6866667 ; 0.0007419 ; 10.5983314 ; 7.2775209
0.6633333 ; 0.0006333 ; 9.04702 ; 6.0011899
0.64 ; 0.000528 ; 7.5434857 ; 4.8278309
0.6166667 ; 0.0004267 ; 6.0959629 ; 3.7591771
0.5933333 ; 0.0003267 ; 4.6672643 ; 2.7692435
0.57 ; 0.0002313 ; 3.3049143 ; 1.8838011
0.5466667 ; 0.0001359 ; 1.9419286 ; 1.0615876
0.5233333 ; 4.64e-05 ; 0.6631671 ; 0.3470575
0.5 ; -4.3e-05 ; -0.6147106 ; -0.3073553
0.4766667 ; -0.0001258 ; -1.7977271 ; -0.8569166
0.4533333 ; -0.0002102 ; -3.0025371 ; -1.3611502
0.43 ; -0.0002871 ; -4.1019643 ; -1.7638446
0.4066667 ; -0.0003634 ; -5.1908957 ; -2.1109643
0.3833333 ; -0.0004347 ; -6.2097286 ; -2.380396
0.36 ; -0.0005054 ; -7.2206414 ; -2.5994309
0.3366667 ; -0.000569 ; -8.1283457 ; -2.7365431
0.3133333 ; -0.0006277 ; -8.9666557 ; -2.8095521
0.29 ; -0.0006881 ; -9.8302371 ; -2.8507688
0.2666667 ; -0.0007394 ; -10.5634957 ; -2.8169322
0.2433333 ; -0.0007885 ; -11.2642114 ; -2.7409581
0.22 ; -0.000836 ; -11.9426814 ; -2.6273899
0.1966667 ; -0.0008823 ; -12.6042057 ; -2.4788271
0.1733333 ; -0.0009191 ; -13.1306457 ; -2.2759786
0.15 ; -0.0009568 ; -13.6679114 ; -2.0501867
0.1266667 ; -0.0009874 ; -14.1061886 ; -1.7867839
0.1033333 ; -0.0010106 ; -14.4374429 ; -1.4918691
0.08 ; -0.0010414 ; -14.8767143 ; -1.1901371
0.0566667 ; -0.0010638 ; -15.1965571 ; -0.8611382
0.0333333 ; -0.0010793 ; -15.4180429 ; -0.5139348
0.01 ; -0.0011015 ; -15.7351857 ; -0.1573519
-0.0133333 ; -0.001118 ; -15.9719571 ; 0.2129594
-0.0366667 ; -0.0011294 ; -16.1337 ; 0.591569
-0.06 ; -0.0011458 ; -16.3680714 ; 0.9820843
-0.0833333 ; -0.0011602 ; -16.5746857 ; 1.3812238
-0.1066667 ; -0.0011743 ; -16.776 ; 1.78944
-0.13 ; -0.001193 ; -17.0431286 ; 2.2156067
-0.1533333 ; -0.0012066 ; -17.2372857 ; 2.6430505
-0.1766667 ; -0.0012287 ; -17.5525571 ; 3.1009518
-0.2 ; -0.0012561 ; -17.9447286 ; 3.5889457
