id,price,brand,brandI,Akumuliatoriaus tipas:,Apsauga nuo per didelės iškrovos:,Apsauga nuo perkaitimo:,Apsauga nuo perkrovos:,Celių technologija:,Darbinė temperatūra:,GPS:,Išmanus įrenginys:,Kamera:,Kameros raiška:,Kategorija:,Maksimalus greitis:,ON/OFF mygtukas su LED:,Pakuotės išmatavimai ir svoris (1):,Pakuotės išmatavimai ir svoris (2):,Papildomos funkcijos:,Pardavėjas:,Pažangi įkrovimo valdymo sistema:,Prekės ID:,Prekės pakuočių kiekis:,Prekės ženklas:,Rūšis:,Skraidymo laikas:,Skrydžio stabilizacija:,Svoris:,Talpa:,Tipas:,Valdymas:,Veikimo atstumas:,Visos šio ženklo prekės:,Įtampa:
195,183.99,Evi,EVI F10,Įkraunama baterija,Taip,Taip,Taip,Li-ion,0 - 40 ºC,Nėra,Taip,Taip,Ultra 4K HD Mpix,Dronai,,Yra,"0,36 x 0,25 x 0,15 m, 1,5 kg",,"360° akrobatiniai judesiai, 					50x priartinimas, 					Automatinis sugrįžimas, 					Autonominis pakilimas ir nusileidimas, 					Plataus kampo 120° lęšis, 					Programuojamas skrydžio maršrutas, 					„Follow Me“ funkcija",LeonasP,Taip,111487521,1 vnt.,Evi,"Evi, taip dronai",,Yra,154 g,,Dronas,"Išmaniuoju įrenginiu, 					            Nuotolinio valdymo pultu, 					            Riešu",2000 m,Visos Evi prekės,3.7 V
196,165.75,4drc,4DRC F10 GPS,,,,,,,Yra,Taip,Taip,Ultra 4K HD Mpix,Dronai,,,"0,23 x 0,17 x 0,08 m, 0,5 kg",,,Avernus Shop,,84169653,1 vnt.,4drc,"4drc, taip dronai",20 min.,Yra,,,Dronas,Nuotolinio valdymo pultu,2000 m,Visos 4drc prekės,
197,63.92,Bewin,Dronas S17 4K,Įkraunama baterija,,,,,,Nėra,Ne,Taip,,Dronai,,,"0,2 x 0,15 x 0,8 m, 0,4 kg",,,Avernus Shop,,82343672,1 vnt.,Bewin,"Bewin, taip dronai",20 min.,Nenurodyta,,,Dronas,Nuotolinio valdymo pultu,200 m,Visos Bewin prekės,
198,39.92,Avernus,Dronas E88 Pro Max,,,,,,,Nenurodyta,Taip,Taip,,Dronai,,,"0,2 x 0,15 x 0,06 m, 0,4 kg",,,Avernus Shop,,84552712,1 vnt.,Avernus,"Avernus, taip dronai",15 min.,Nenurodyta,,,Dronas,Nuotolinio valdymo pultu,150 m,Visos Avernus prekės,
199,59.99,Evi,EVI E100 PRO,Įkraunama baterija,Taip,Taip,Taip,Li-ion,0 - 40 ºC,Nėra,Taip,Taip,HD Mpix,Dronai,,Yra,"0,3 x 0,2 x 0,1 m, 0,38 kg",,"360° akrobatika, 					Automatinis pakilimas ir nusileidimas, 					FPV – gyvas vaizdas telefone, 					Gestų fotografija, 					Maršruto piešimas programėlėje, 					VR režimas, 					„Follow Me“ režimas",LeonasP,Taip,111500986,1 vnt.,Evi,"Evi, taip dronai",60 min.,Yra,118 g,1800 mAh,Dronas,"Išmaniuoju įrenginiu, 					            Nuotolinio valdymo pultu, 					            Riešu",300 m,Visos Evi prekės,3.7 V
200,-1.0,,"Dronas ,,Memfis"", E95 PRO 350 m 1800 mAh",,,,,,,Yra,Taip,Taip,,Dronai,,,"0,4 x 0,4 x 0,4 m, 0,4 kg",,,,,75499643,1 vnt.,Nenurodyta,"Nenurodyta, taip dronai",12 min.,Yra,,,Dronas,"Išmaniuoju įrenginiu, 					            Nuotolinio valdymo pultu",-,Visos Nenurodyta prekės,
201,-1.0,YogaSuper,Yogasuper 4K,,,,,,,Yra,Taip,Taip,Ultra 4K HD Mpix,Dronai,,,"0,33 x 0,33 x 0,1 m, 0,5 kg",,,,,79955082,1 vnt.,Yogasuper,"Yogasuper, taip dronai",25 min.,Yra,,,Dronas,"Išmaniuoju įrenginiu, 					            Nuotolinio valdymo pultu",300 m,Visos YogaSuper prekės,
202,69.88,,E88 Pro 4k hd,,,,,,,Yra,Taip,Taip,Nenurodyta,Dronai,,,"0,5 x 0,4 x 0,4 m, 1 kg",,"3 greičio lygiai, 					360 laipsniu apsivertimas ore, 					4 atsarginiai propeleriai, 					Giroskopas","Jūsų Prekės, 					            Ramana family shop",,95812512,1 vnt.,Nenurodyta,"Nenurodyta, taip dronai",15 min.,Yra,,,Dronas,Nuotolinio valdymo pultu+VR,100 m,Visos Nenurodyta prekės,
203,-1.0,,Livman S9000,Įkraunama baterija,Taip,Taip,Taip,Li-Polymer,,Nenurodyta,Taip,Taip,,Dronai,,Yra,"0,2 x 0,2 x 0,07 m, 0,5 kg",,"3 greičio lygiai, 					360 laipsniu apsivertimas ore, 					4 atsarginiai propeleriai, 					Apsivertimas ore mygtuko paspaudimu, 					Atsparus lengviems atsitrenkimams arba nukritimams, 					Giroskopas, 					LED dirželis, informuojantis apie įkrovimo buklę, 					Nusileidimas vienu mygtuku, 					Propelerių apsaugos, 					Wifi",,,89794071,1 vnt.,Nenurodyta,"Nenurodyta, taip dronai",36 min.,Yra,138 g,,Dronas,"Išmaniuoju įrenginiu, 					            Nuotolinio valdymo pultu, 					            Nuotolinio valdymo pultu+VR",200 m,Visos Nenurodyta prekės,3.7 V
204,-1.0,Syma,Syma X35T 2.4G R/C,,,,,,,Nenurodyta,Taip,Nenurodyta,,Dronai,,,"0,29 x 0,17 x 0,07 m, 1 kg",,,Urmo Kaina,,83503035,1 vnt.,Syma,,7 min.,Nenurodyta,,,Dronas,Nuotolinio valdymo pultu,20 m,Visos Syma prekės,
205,-1.0,,S136 Mini 4K HD GPS,,,,,,,Yra,Taip,Taip,,Dronai,,,"0,2 x 0,15 x 0,07 m, 0,5 kg",,,,,84182957,1 vnt.,Nenurodyta,"Nenurodyta, taip dronai",20 min.,Yra,,,Dronas,Nuotolinio valdymo pultu,1000 m,Visos Nenurodyta prekės,
206,-1.0,,Dronas Flying Ball,,,,,,,Nėra,Ne,Ne,,Dronai,-,,"0,16 x 0,18 x 0,055 m, 1,5 kg",,,,,34827949,1 vnt.,Nenurodyta,"Nenurodyta, ne dronai",10 min.,Nenurodyta,100 g,,Dronas,Infrafaudonaisiais spinduliais,-,Visos Nenurodyta prekės,Nenurodyta V
207,-1.0,,Dronas 4K HD GPS,,,,,,,Yra,Taip,Taip,,Dronai,,,"0,5 x 0,5 x 0,5 m, 0,66 kg",,,,,82257012,1 vnt.,Nenurodyta,"Nenurodyta, taip dronai",12 min.,Yra,,,Dronas,Nuotolinio valdymo pultu,80 m,Visos Nenurodyta prekės,
208,-1.0,Vis Tiek,VisTiek 8s,,,,,,,Nėra,Ne,Taip,,Dronai,,,"0,27 x 0,11 x 0,18 m, 1,5 kg",,,,,88484696,1 vnt.,Vis Tiek,"Vis Tiek, taip dronai",15 min.,Yra,,,Dronas,Nuotolinio valdymo pultu,100 m,Visos Vis Tiek prekės,
209,-1.0,Syma,Syma X15W,,,,,,,Nenurodyta,Ne,Taip,,Dronai,-,,"0,44 x 0,27 x 0,08 m, 0,67 kg",,,,,45459733,1 vnt.,Syma,"Syma, taip dronai",7 min.,Nenurodyta,,,Dronas,Nuotolinio valdymo pultu,80 m,Visos Syma prekės,
210,475.92,DJI,DJI Mini 3,,,,,,,Yra,Taip,Taip,12 Mpix,Dronai,30 m/h,,"0,3 x 0,3 x 0,2 m, 0,5 kg",,,,,68608746,1 vnt.,DJI,"DJI, taip dronai",38 min.,Yra,249 g,,Dronas,Išmaniuoju įrenginiu,10000 m,Visos DJI prekės,
211,-1.0,,E99 Pro Max 4K HD,,,,,,,Nėra,Taip,Taip,,Dronai,,,"0,2 x 0,14 x 0,06 m, 0,4 kg",,,,,84182973,1 vnt.,Nenurodyta,"Nenurodyta, taip dronai",20 min.,Nenurodyta,,,Dronas,Nuotolinio valdymo pultu,200 m,Visos Nenurodyta prekės,
212,-1.0,DJI,DJI Mini 2 SE Fly More Combo,Įkraunama baterija,,,,Li-Polymer,5 °C - 40 °C,Yra,Taip,Taip,12 Mpix,Dronai,57600 m/h,,"0,3 x 0,1 x 0,2 m, 1,6 kg",,,,,70126081,1 vnt.,DJI,"DJI, taip dronai",31 min.,Yra,249 g,2250 mAh,Dronas,Nuotolinio valdymo pultu,15000 m,Visos DJI prekės,7.7 V
213,-1.0,Chubory,Chubory F89,,,,,,,Nenurodyta,Taip,Taip,,Dronai,,,"0,4 x 0,4 x 0,4 m, 2 kg",,,,,83794155,1 vnt.,Chubory,"Chubory, taip dronai",40 min.,Nenurodyta,,,Dronas,Nenurodyta,-,Visos Chubory prekės,
214,-1.0,DJI,DJI Mini SE Fly More Combo,,,,,,,Yra,Taip,Taip,12 Mpix,Dronai,46000 m/h,,"0,32 x 0,28 x 0,25 m, 1,266 kg",,,,,47081757,1 vnt.,DJI,"DJI, taip dronai",30 min.,Yra,249 g,,Dronas,Nuotolinio valdymo pultu,2000 m,Visos DJI prekės,
215,-1.0,Vwinget,GPS RC 5g bepilotis orlaivis UAV profesionalus keturkopterinis FPV su 4K kamera,,,,,,,Yra,Taip,Taip,,Dronai,-,,"0,35 x 0,28 x 0,2 m, 1,5 kg",,,,,49252629,1 vnt.,Vwinget,"Vwinget, taip dronai",20 min.,Nenurodyta,,,Dronas,Išmaniuoju įrenginiu,3000 m,Visos Vwinget prekės,
216,-1.0,Autel,Autel EVO Nano+,,,,,,,Yra,Ne,Taip,,Dronai,-,,"0,4 x 0,6 x 0,18 m, 1,5 kg",,,,,52172024,1 vnt.,Autel,"Autel, taip dronai",28 min.,Nenurodyta,,,Dronas,Nuotolinio valdymo pultu,-,Visos Autel prekės,
217,-1.0,DJI,DJI FPV Combo,,,,,,,Nenurodyta,Ne,Taip,,Dronai,-,,"0,4 x 0,6 x 0,18 m, 1,5 kg",,,,,38504498,1 vnt.,DJI,"DJI, taip dronai",20 min.,Nenurodyta,,2000 mAh,Dronas,Nenurodyta,10000 m,Visos DJI prekės,
218,-1.0,DJI,DJI Air 3 Fly More Combo RC-N2,,,,,,,Yra,Ne,Taip,,Dronai,,,"0,6 x 0,36 x 0,19 m, 1 kg",,,,,75217347,1 vnt.,DJI,"DJI, taip dronai",46 min.,Nenurodyta,,,Dronas,Nuotolinio valdymo pultu,-,Visos DJI prekės,
220,-1.0,DJI,Dronas DJI Mavic 3 Thermal Enterprise,,,,,,,Yra,Ne,Taip,,Dronai,21 m/h,,"1 x 1 x 1 m, 2 kg",,,,,85293765,1 vnt.,DJI,"DJI, taip dronai",45 min.,Yra,920 g,5000 mAh,Dronas,Nuotolinio valdymo pultu,15000 m,Visos DJI prekės,
221,-1.0,Tello,Tello Boost Combo,Įkraunama baterija,,,,,,Nėra,Ne,Taip,2 Mpix,Dronai,8 m/h,,"0,28 x 0,25 x 0,22 m, 2 kg",,,,,31542757,1 vnt.,Tello,"Tello, taip dronai",13 min.,Yra,,,Dronas,Išmaniuoju įrenginiu,100 m,Visos Tello prekės,
222,-1.0,Autel,"Drone  Autel EVO Lite+ Standard Orange CMOS 1"" 20 MP",,,,,,,Nenurodyta,Taip,Taip,,Dronai,-,,"0,28 x 0,25 x 0,23 m, 2 kg",,,,,49440303,1 vnt.,Autel,"Autel, taip dronai",- min.,Yra,,,Dronas,Nuotolinio valdymo pultu,-,Visos Autel prekės,
223,-1.0,Overmax,Overmax X-BEE,,,,,,,Yra,Taip,Taip,,Dronai,-,,"0,4 x 0,6 x 0,18 m, 1,5 kg",,,,,33063966,1 vnt.,Overmax,"Overmax, taip dronai",15 min.,Yra,249 g,1500 mAh,Dronas,"Išmaniuoju įrenginiu, 					            Nuotolinio valdymo pultu",300 m,Visos Overmax prekės,
224,-1.0,DJI,DJI Matrice 0T/CP.EN.00000368.02,,,,,,,Yra,Taip,Taip,,Dronai,-,,"0,77 x 0,32 x 0,45 m, 15,7 kg",,,,,56699123,1 vnt.,DJI,"DJI, taip dronai",41 min.,Nėra,,,Dronas,Išmaniuoju įrenginiu,-,Visos DJI prekės,
225,-1.0,DJI,DJI Avata Pro-View Combo,,,,,,,Nenurodyta,Ne,Taip,,Dronai,-,,"0,2 x 0,17 x 0,19 m, 1,73 kg",,,,,57918643,1 vnt.,DJI,"DJI, taip dronai",- min.,Nenurodyta,,2420 mAh,Dronas,Nenurodyta,-,Visos DJI prekės,
226,-1.0,,AG362D Flying Disco,,,,,,,Nėra,Ne,Ne,,Dronai,,,"0,4 x 0,3 x 0,3 m, 1 kg",,,,,75414963,1 vnt.,Nenurodyta,"Nenurodyta, ne dronai",8 min.,Nėra,,,Dronas,Riešu,-,Visos Nenurodyta prekės,
227,-1.0,Hover Air,HoverAir X1,,,,,,,Nėra,Ne,Taip,,Dronai,,,"0,1 x 0,1 x 0,1 m, 700 kg",,,,,89924005,1 vnt.,Hover Air,"Hover Air, taip dronai",- min.,Yra,,,Dronas,Nenurodyta,30 m,Visos Hover Air prekės,
228,-1.0,Potensic,Potensic Atom GPS Fly more Combo,,,,,,,Yra,Taip,Taip,12 Mpix,Dronai,-,,"0,26 x 0,19 x 0,14 m, 1,62 kg",,,,,92171606,1 vnt.,Potensic,"Potensic, taip dronai",31 min.,Yra,249 g,,Dronas,Nuotolinio valdymo pultu,-,Visos Potensic prekės,
229,-1.0,,Dronas E88 PRO,,,,,,,Nėra,Ne,Ne,,Dronai,,,"0,19 x 0,19 x 0,15 m, 1 kg",,,,,83258687,1 vnt.,Nenurodyta,"Nenurodyta, ne dronai",10 min.,Yra,,,Dronas,Nuotolinio valdymo pultu,250 m,Visos Nenurodyta prekės,
230,-1.0,DJI,DJI Mini 4K,,,,,,,Yra,Ne,Taip,,Dronai,,,"1 x 1 x 1 m, 1 kg",,,,,93793158,1 vnt.,DJI,"DJI, taip dronai",31 min.,Yra,,,Dronas,Nuotolinio valdymo pultu,15000 m,Visos DJI prekės,
231,-1.0,DJI,DJI Mavic 3 Pro Cine Premium Combo,,,,,,,Yra,Ne,Taip,,Dronai,-,,"0,1 x 0,1 x 0,1 m, 1 kg",,,,,71467791,1 vnt.,DJI,"DJI, taip dronai",43 min.,Yra,,5000 mAh,Dronas,Nuotolinio valdymo pultu,15000 m,Visos DJI prekės,
233,-1.0,,Dronas E100 PRO,,,,,,,Nėra,Ne,Ne,,Dronai,,,"0,19 x 0,19 x 0,15 m, 1 kg",,,,,83182022,1 vnt.,Nenurodyta,"Nenurodyta, ne dronai",10 min.,Nenurodyta,,,Dronas,Nuotolinio valdymo pultu,250 m,Visos Nenurodyta prekės,
234,129.0,Rollei,Rollei Fly 60 Combo,,,,,,,Nenurodyta,Ne,Taip,,Dronai,,,"0,25 x 0,25 x 0,25 m, 800 kg",,,"Kouket, 					            Galador Grupp OÜ",,91585435,1 vnt.,Rollei,"Rollei, taip dronai",10 min.,Nenurodyta,,,Dronas,Nuotolinio valdymo pultu,40 m,Visos Rollei prekės,
235,-1.0,Potensic,Potensic Atom SE GPS,,,,,,,Yra,Taip,Taip,12 Mpix,Dronai,-,,"0,26 x 0,19 x 0,14 m, 1,62 kg",,,,,92171591,1 vnt.,Potensic,"Potensic, taip dronai",31 min.,Nėra,249 g,,Dronas,Nuotolinio valdymo pultu,-,Visos Potensic prekės,
236,-1.0,DJI,DJI Neo Fly More Combo,,,,,,,Yra,Ne,Taip,,Dronai,,,"1 x 1 x 1 m, 1 kg",,,,,93792388,1 vnt.,DJI,"DJI, taip dronai",18 min.,Yra,,,Dronas,Nuotolinio valdymo pultu,7000 m,Visos DJI prekės,
237,-1.0,UGO,Dronas Ugo Mistral 3.0,,,,,,,Nėra,Ne,Taip,,Dronai,-,,"0,28 x 0,25 x 0,23 m, 1 kg",,,,,56516174,1 vnt.,UGO,"UGO, taip dronai",35 min.,Nenurodyta,,,Dronas,Nuotolinio valdymo pultu,100 m,Visos UGO prekės,
238,-1.0,Syma,Syma X8PRO GPS,,,,,,,Yra,Taip,Taip,,Dronai,25000 m/h,,"0,35 x 0,35 x 0,18 m, 2 kg",,,,,66475191,1 vnt.,Syma,"Syma, taip dronai",10 min.,Yra,,,Dronas,"Išmaniuoju įrenginiu, 					            Nuotolinio valdymo pultu",300 m,Visos Syma prekės,
239,-1.0,Syma,Syma SX8PRO,,,,,,,Yra,Ne,Taip,,Dronai,-,,"0,4 x 0,6 x 0,18 m, 1,5 kg",,,,,24628085,1 vnt.,Syma,"Syma, taip dronai",9 min.,Nenurodyta,,,Dronas,Nenurodyta,70 m,Visos Syma prekės,
240,-1.0,Hover Air,HoverAir X1 Combo Plus Retail,,,,,,,Nėra,Ne,Taip,,Dronai,,,"0,1 x 0,1 x 0,1 m, 700 kg",,,,,89924010,1 vnt.,Hover Air,"Hover Air, taip dronai",11 min.,Yra,,,Dronas,Nenurodyta,30 m,Visos Hover Air prekės,
241,-1.0,Hover Air,HoverAir X1 Combo Retail,,,,,,,Nėra,Ne,Taip,,Dronai,,,"0,1 x 0,1 x 0,1 m, 650 kg",,,,,89923985,1 vnt.,Hover Air,"Hover Air, taip dronai",11 min.,Yra,,,Dronas,Nenurodyta,30 m,Visos Hover Air prekės,
242,-1.0,DJI,DJI Mavic 3 Classic (CP.MA.00000555.01),,,,,,,Yra,Taip,Taip,20 Mpix,Dronai,-,,"0,265 x 0,135 x 0,185 m, 1,995 kg",,,,,61791818,1 vnt.,DJI,"DJI, taip dronai",46 min.,Nenurodyta,,,Dronas,Nuotolinio valdymo pultu,-,Visos DJI prekės,
243,-1.0,DJI,DJI Mini 2 Fly More Combo DJI Care Bundle,,,,,,,Yra,Taip,Taip,12 Mpix,Dronai,-,,"0,3 x 0,3 x 0,2 m, 0,5 kg",,,,,56559608,1 vnt.,DJI,"DJI, taip dronai",31 min.,Nenurodyta,249 g,,Dronas,Nuotolinio valdymo pultu,-,Visos DJI prekės,
244,-1.0,Hover Air,HoverAir X1 Standard,,,,,,,Nėra,Ne,Taip,,Dronai,,,"0,11 x 0,1 x 0,1 m, 450 kg",,,,,89924015,1 vnt.,Hover Air,"Hover Air, taip dronai",11 min.,Yra,,,Dronas,Nenurodyta,30 m,Visos Hover Air prekės,
