id,price,brand,brandI,Akumuliatoriaus tipas:,Apsauga nuo per didelės iškrovos:,Apsauga nuo perkaitimo:,Apsauga nuo perkrovos:,Celių technologija:,Darbinė temperatūra:,GPS:,Išmanus įrenginys:,Kamera:,Kameros raiška:,Kategorija:,Maksimalus greitis:,ON/OFF mygtukas su LED:,Pakuotės išmatavimai ir svoris (1):,Pakuotės išmatavimai ir svoris (2):,Papildomos funkcijos:,Pardavėjas:,Pažangi įkrovimo valdymo sistema:,Prekės ID:,Prekės pakuočių kiekis:,Prekės ženklas:,Rūšis:,Skraidymo laikas:,Skrydžio stabilizacija:,Svoris:,Talpa:,Tipas:,Valdymas:,Veikimo atstumas:,Visos šio ženklo prekės:,Įtampa:
141,264.99,,K80Air 2S GPS 5G 4K,,,,,,,Yra,Taip,Taip,,Dronai,-,,"0,35 x 0,3 x 0,15 m, 1,5 kg",,,Nekada,,49252614,1 vnt.,Nenurodyta,"Nenurodyta, taip dronai",27 min.,Nenurodyta,,,Dronas,Nuotolinio valdymo pultu,1000 m,Visos Nenurodyta prekės,
142,287.0,,K80Air 2S GPS 5G 4K,,,,,,,Yra,Taip,Taip,,Dronai,-,,"0,35 x 0,3 x 0,15 m, 1,5 kg",,,Nekada,,49252624,1 vnt.,Nenurodyta,"Nenurodyta, taip dronai",60 min.,Nenurodyta,,,Dronas,Nuotolinio valdymo pultu,1000 m,Visos Nenurodyta prekės,
143,148.99,,Nauja Mini Drone 4K HD camera Wifi Fpv Luchtdruk Hoogte Hold,,,,,,,Nenurodyta,Taip,Taip,,Dronai,-,,"0,18 x 0,13 x 0,1 m, 0,41 kg",,,Nekada,,52571684,1 vnt.,Nenurodyta,"Nenurodyta, taip dronai",12 min.,Yra,,,Dronas,Nuotolinio valdymo pultu,100 m,Visos Nenurodyta prekės,
144,280.61,Syma,"Dronas su kamera Syma W3, EIS, 2K, GPS",,,,,,,Yra,Taip,Taip,,Dronai,-,,"0,23 x 0,11 x 0,153 m, 1 kg",,,Urmo Kaina,,64379613,1 vnt.,Syma,"Syma, taip dronai",27 min.,Yra,,,Dronas,"Išmaniuoju įrenginiu, 					            Nuotolinio valdymo pultu",400 m,Visos Syma prekės,
145,432.94,,"Dronas (GPS , Wi-Fi 2000 m.)",,,,,,,Yra,Taip,Taip,,Dronai,-,,"0,2 x 0,2 x 0,12 m, 0,4 kg",,,"Belsi LT, 					            Tavo išparduotuvė",,67195109,1 vnt.,Nenurodyta,"Nenurodyta, taip dronai",- min.,Yra,,,Dronas,Išmaniuoju įrenginiu,-,Visos Nenurodyta prekės,
146,455.85,DJI,DJI Mini 3,Įkraunama baterija,,,,Li-Polymer,5 °C - 40 °C,Yra,Taip,Taip,Ultra 4K HD Mpix,Dronai,57600 m/h,,"0,18 x 0,14 x 0,1 m, 0,5 kg",,,"Minced, 					            ACT TRADE SIA",,70369766,1 vnt.,DJI,"DJI, taip dronai",33 min.,Yra,249 g,2420 mAh,Dronas,Nenurodyta,17000 m,Visos DJI prekės,7.4 V
147,164.4,Lenovo,Lenovo S96,Įkraunama baterija,,,,Li-Polymer,,Yra,Taip,Taip,,Dronai,,,"0,11 x 0,17 x 0,15 m, 0,5 kg",,,Nekada,,74156886,1 vnt.,Lenovo,"Lenovo, taip dronai",12 min.,Yra,0.080 g,600 mAh,Dronas,Nuotolinio valdymo pultu,100 m,Visos Lenovo prekės,
148,358.4,Rondaful,Quadcopter X2-PRO3,Įkraunama baterija,,,,Li-Polymer,,Yra,Taip,Taip,Ultra 4K HD Mpix,Dronai,-,Yra,"0,11 x 0,17 x 0,15 m, 0,7 kg",,"3 greičio lygiai, 					4 atsarginiai propeleriai, 					Nusileidimas vienu mygtuku, 					Wifi",Nekada,,74156891,1 vnt.,Rondaful,"Rondaful, taip dronai",20 min.,Yra,- g,2000 mAh,Dronas,Nuotolinio valdymo pultu,1500 m,Visos Rondaful prekės,
149,995.0,,SG906 MAX2,,,,,,,Yra,Taip,Taip,,Dronai,,,"0,05 x 0,05 x 0,01 m, 0,5 kg",,,"Belsi LT, 					            Juodasis šiokiadienis, 					            Tavo išparduotuvė",,74684859,1 vnt.,Nenurodyta,"Nenurodyta, taip dronai",40 min.,Yra,,,Dronas,Išmaniuoju įrenginiu,7000 m,Visos Nenurodyta prekės,
150,998.87,4drc,4DRC F4 Pro 3-Axis,,,,,,,Yra,Taip,Taip,,Dronai,,,"0,25 x 0,2 x 0,15 m, 1 kg",,,"Belsi LT, 					            Juodasis šiokiadienis",,75272438,1 vnt.,4drc,"4drc, taip dronai",25 min.,Yra,,,Dronas,"Išmaniuoju įrenginiu, 					            Nuotolinio valdymo pultu",3000 m,Visos 4drc prekės,
151,90.0,Cooler Stuff Co,"Dronas r/c valdomas programėle, su filmavimo funkcija , 2 baterijos 3.7V",,,,,,,Nenurodyta,Taip,Nenurodyta,,Dronai,,,"0,29 x 0,1 x 0,24 m, 1 kg",,,"Magy žaislai, 					            Švara visiems, MB",,75920763,1 vnt.,Cooler Stuff Co,,20 min.,Nenurodyta,0.15 g,,Dronas,Nuotolinio valdymo pultu+VR,100 m,Visos Cooler Stuff Co prekės,3.7 V
152,711.0,Xiaomi,Xiaomi Fimi X8 Pro,,,,,,,Yra,Taip,Taip,,Dronai,,,"0,2 x 0,2 x 0,28 m, 0,2 kg",,,"Pigu.lt, 					            ABC Žaislai, 					            Avesa Trade",,81328625,1 vnt.,Xiaomi,"Xiaomi, taip dronai",29 min.,Nenurodyta,,,Dronas,Nuotolinio valdymo pultu,5000 m,Visos Xiaomi prekės,
153,1946.62,4drc,4DRC F4 Pro 3-Axis,,,,,,,Yra,Taip,Taip,,Dronai,,,"0,25 x 0,2 x 0,15 m, 1 kg",,,Juodasis šiokiadienis,,86160272,1 vnt.,4drc,"4drc, taip dronai",25 min.,Yra,,,Dronas,"Išmaniuoju įrenginiu, 					            Nuotolinio valdymo pultu",3000 m,Visos 4drc prekės,
154,90.75,,ThreeFire V162,,Taip,Taip,Taip,,,Nenurodyta,Taip,Nenurodyta,8 Mpix,Dronai,-,Yra,"0,255 x 0,085 x 0,2 m, 0,7 kg",,,ThreeFire,Taip,115161711,1 vnt.,SHRC,,30 min.,Nenurodyta,,162 mAh,Dronas,Nenurodyta,120 m,,Nenurodyta V
155,52.96,Syma,Syma X23-BLK,,,,,,,Nenurodyta,Ne,Nenurodyta,,Dronai,-,,"0,44 x 0,08 x 0,26 m, 0,56 kg",,,"Pramo prekyba, 					            Urmo Kaina",,32479911,1 vnt.,Syma,,- min.,Nenurodyta,,,Dronas,Nenurodyta,-,Visos Syma prekės,
156,1087.18,Autel,Dronas Autel 102000882,,,,,,,Nenurodyta,Ne,Nenurodyta,,Dronai,-,,"0,28 x 0,25 x 0,23 m, 1 kg",,,VMA PLUS Sp. z o.o.,,49440328,1 vnt.,Autel,,- min.,Nenurodyta,,,Dronas,Nenurodyta,-,Visos Autel prekės,
157,832.97,Fimi,FIMI X8 Se 2022 V2 Standard,,,,,,,Yra,Taip,Taip,,Dronai,64800 m/h,,"0,4 x 0,6 x 0,18 m, 1,5 kg",,,"KATARATA, 					            Minced",,62134553,1 vnt.,Fimi,"Fimi, taip dronai",31 min.,Yra,,,Dronas,"Išmaniuoju įrenginiu, 					            Nuotolinio valdymo pultu",10000 m,Visos Fimi prekės,
158,129.98,Syma,"Dronas su kamera Syma X31, 4K, FHD, GPS",,,,,,,Yra,Taip,Taip,,Dronai,-,,"0,48 x 0,305 x 0,085 m, 1,5 kg",,,"Urmo Kaina, 					            EasyShop",,64379618,1 vnt.,Syma,"Syma, taip dronai",19 min.,Yra,,,Dronas,"Išmaniuoju įrenginiu, 					            Nuotolinio valdymo pultu",350 m,Visos Syma prekės,
159,73.19,Syma,Syma Z3,,,,,,,Yra,Taip,Taip,,Dronai,Nenurodyta m/h,,"0,16 x 0,14 x 0,05 m, 0,5 kg",,,"Urmo Kaina, 					            EasyShop, 					            Minced",,66987229,1 vnt.,Syma,"Syma, taip dronai",7 min.,Nenurodyta,,,Dronas,Išmaniuoju įrenginiu,70 m,Visos Syma prekės,
160,3342.0,DJI,DJI Mavic 3 Pro + DJI RC Pro Fly More Combo,,,,,,,Yra,Ne,Taip,,Dronai,,,"0,13 x 0,26 x 0,2 m, 1 kg",,,Pigu.lt,,71467786,1 vnt.,DJI,"DJI, taip dronai",43 min.,Nenurodyta,,5000 mAh,Dronas,Nuotolinio valdymo pultu,15000 m,Visos DJI prekės,
161,123.42,,Dronas E99 Pro Max,,,,,,,Yra,Taip,Taip,,Dronai,,,"0,4 x 0,4 x 0,4 m, 0,4 kg",,,EasyShop,,76050978,1 vnt.,Nenurodyta,"Nenurodyta, taip dronai",60 min.,Yra,,,Dronas,Išmaniuoju įrenginiu,-,Visos Nenurodyta prekės,
162,211.31,,4DRC F6/V12 Combo 1600 mAh,,,,,,,Nenurodyta,Taip,Taip,,Dronai,,,"0,15 x 0,17 x 0,1 m, 1 kg",,,"Belsi LT, 					            Juodasis šiokiadienis, 					            Tavo išparduotuvė",,76866167,1 vnt.,Nenurodyta,"Nenurodyta, taip dronai",20 min.,Yra,,,Dronas,Išmaniuoju įrenginiu,500 m,Visos Nenurodyta prekės,
163,168.0,,Pro B0967YRBKV,,,,,,,Nėra,Taip,Taip,,Dronai,,,"0,19 x 0,19 x 0,19 m, 2 kg",,,"Pro Baltic, 					            Amor Idea",,80328652,1 vnt.,Nenurodyta,"Nenurodyta, taip dronai",- min.,Nenurodyta,,,Dronas,Nenurodyta,-,Visos Nenurodyta prekės,
164,85.74,Rebel,Rebel 600 mAh,,,,,,,Nenurodyta,Taip,Taip,,Dronai,,,"0,4 x 0,4 x 0,4 m, 0,64 kg",,,"Trading MB, 					            Juodasis šiokiadienis, 					            EasyShop",,82252117,1 vnt.,Rebel,"Rebel, taip dronai",7 min.,Nenurodyta,,,Dronas,Nuotolinio valdymo pultu,80 m,Visos Rebel prekės,
165,34.99,JJR/C,JJRC RC H36 Mini,,,,,,,Nenurodyta,Ne,Ne,,Dronai,,,"0,1 x 0,15 x 0,15 m, 0,5 kg",,,EasyShop,,89751085,1 vnt.,JJRC,"JJRC, ne dronai",5 min.,Yra,,,Dronas,Nuotolinio valdymo pultu,30 m,Visos JJR/C prekės,
166,139.99,Syma,Syma X30,,,,,,,Yra,Ne,Taip,,Dronai,,,"0,15 x 0,4 x 0,3 m, 0,5 kg",,,Urmo Kaina,,89751110,1 vnt.,Syma,"Syma, taip dronai",20 min.,Nenurodyta,,,Dronas,Nuotolinio valdymo pultu,350 m,Visos Syma prekės,
167,63.49,Syma,Syma X23W,,,,,,,Nenurodyta,Ne,Taip,,Dronai,,,"0,15 x 0,24 x 0,23 m, 0,6 kg",,,"Urmo Kaina, 					            EasyShop, 					            LinePro",,89763350,1 vnt.,Syma,"Syma, taip dronai",8 min.,Nenurodyta,,,Dronas,Nuotolinio valdymo pultu,20 m,Visos Syma prekės,
168,177.04,Oem,Oem C128 4CH,,,,,,,Nenurodyta,Ne,Taip,,Dronai,,,"0,8 x 0,8 x 0,8 m, 2 kg",,,Resteq,,91884060,1 vnt.,OEM,"OEM, taip dronai",- min.,Nenurodyta,,,Dronas,Nenurodyta,-,Visos Oem prekės,
169,70.79,,RC SYMA Z3,,,,,,,Nenurodyta,Taip,Taip,,Dronai,,,"0,23 x 0,37 x 0,09 m, 0,9 kg",,,"Valomsandeli, 					            Kouket, 					            shumee, 					            EasyShop, 					            ShoppingArea",,93034567,1 vnt.,Nenurodyta,"Nenurodyta, taip dronai",- min.,Nenurodyta,,,Dronas,Nuotolinio valdymo pultu,-,Visos Nenurodyta prekės,
170,329.99,Evi,EVI F14,Įkraunama baterija,Taip,Taip,Taip,Li-ion,0 - 40 ºC,Yra,Taip,Taip,HDR HD Mpix,Dronai,,Yra,"0,36 x 0,28 x 0,15 m, 2 kg",,"360° fotografavimas, 					Automatinis sugrįžimas, 					Kliūčių vengimas, 					Maršruto piešimas programėlėje, 					VR režimas, 					„Follow Me“ režimas",LeonasP,Taip,111493246,1 vnt.,Evi,"Evi, taip dronai",,Yra,190 g,2000 mAh,Dronas,"Išmaniuoju įrenginiu, 					            Nuotolinio valdymo pultu, 					            Riešu",2000 m,Visos Evi prekės,3.7 V
171,1519.99,DJI,DJI Mavic Air 2 Combo,,,,,,,Yra,Taip,Taip,,Dronai,68 m/h,,"0,4 x 0,6 x 0,18 m, 1,5 kg",,,KATARATA,,31600327,1 vnt.,DJI,"DJI, taip dronai",34 min.,Yra,,,Dronas,Nuotolinio valdymo pultu,10000 m,Visos DJI prekės,
172,6694.89,Autel,Autel 102000254,,,,,,,Nėra,Ne,Nenurodyta,,Dronai,-,,"0,4 x 0,18 x 0,6 m, 6,44 kg",,,Minced,,34571421,1 vnt.,Autel,,- min.,Nenurodyta,,,Dronas,Nenurodyta,-,Visos Autel prekės,
173,994.08,Autel,Autel EVO Nano+,,,,,,,Yra,Ne,Taip,,Dronai,-,,"0,4 x 0,6 x 0,18 m, 1,5 kg",,,"VMA PLUS Sp. z o.o., 					            Minced",,52172019,1 vnt.,Autel,"Autel, taip dronai",28 min.,Nenurodyta,,,Dronas,Nuotolinio valdymo pultu,-,Visos Autel prekės,
174,557.0,DJI,DJI Avata (No RC)|CP.FP.00000062.02,,,,,,,Yra,Ne,Taip,,Dronai,-,,"0,2 x 0,08 x 0,19 m, 0,73 kg",,,"Pigu.lt, 					            IT Plus, 					            KATARATA",,60294883,1 vnt.,DJI,"DJI, taip dronai",- min.,Nenurodyta,,,Dronas,Nenurodyta,-,Visos DJI prekės,
175,179.99,Syma,"Syma X30 2,4 GHz GPS FPV Wifi 1080p",,,,,,,Yra,Ne,Taip,,Dronai,-,,"0,5 x 1 x 0,5 m, 0,93 kg",,,"Urmo Kaina, 					            EasyShop",,62640163,1 vnt.,Syma,"Syma, taip dronai",- min.,Nenurodyta,,,Dronas,Nenurodyta,-,Visos Syma prekės,
176,19581.99,DJI,DJI Inspire 3 Enterprise,Įkraunama baterija,,,,,-20 °C - +40 °C,Yra,Taip,Taip,Ultra 4K HD Mpix,Dronai,94000 m/h,,"0,3 x 0,4 x 0,2 m, 22,5 kg",,Wifi,"KATARATA, 					            Minced",Taip,72055926,1 vnt.,DJI,"DJI, taip dronai",28 min.,Yra,3995 g,4280 mAh,Dronas,Nuotolinio valdymo pultu,2000 m,Visos DJI prekės,23.1 V
177,169.49,4drc,Allnoel 4drc F10,,,,,,,Yra,Taip,Taip,,Dronai,,,"0,5 x 0,5 x 0,5 m, 0,5 kg",,,"MAJUS, 					            EasyShop",,74245496,1 vnt.,4drc,"4drc, taip dronai",20 min.,Nenurodyta,,,Dronas,Nuotolinio valdymo pultu,2000 m,Visos 4drc prekės,
178,114.56,4drc,4DRC 4D-V27,,,,,,,Nenurodyta,Taip,Taip,,Dronai,,,"0,41 x 0,27 x 0,15 m, 1 kg",,,Belsi LT,,75217778,1 vnt.,4drc,"4drc, taip dronai",15 min.,Yra,,,Dronas,"Išmaniuoju įrenginiu, 					            Nuotolinio valdymo pultu",-,Visos 4drc prekės,
179,90.19,,Allnoel S162 Pro,,,,,,,Yra,Taip,Taip,,Dronai,,,"0,4 x 0,4 x 0,4 m, 1 kg",,,"Trading MB, 					            EasyShop",,75533138,1 vnt.,Nenurodyta,"Nenurodyta, taip dronai",10 min.,Yra,,,Dronas,"Išmaniuoju įrenginiu, 					            Nuotolinio valdymo pultu",400 m,Visos Nenurodyta prekės,
180,108.4,Giister,Giister E99 Pro,,,,,,,Nėra,Ne,Taip,,Dronai,,,"0,3 x 0,2 x 0,06 m, 0,38 kg",,,"Pro Baltic, 					            Amor Idea",,80277482,1 vnt.,Giister,"Giister, taip dronai",20 min.,Nenurodyta,,,Dronas,Nuotolinio valdymo pultu,200 m,Visos Giister prekės,
181,93.58,,Dronas E99 Pro,,,,,,,Yra,Taip,Taip,,Dronai,,,"0,22 x 0,18 x 0,55 m, 0,318 kg",,,La Bella,,80557732,1 vnt.,Nenurodyta,"Nenurodyta, taip dronai",60 min.,Yra,,,Dronas,Nuotolinio valdymo pultu,-,Visos Nenurodyta prekės,
182,207.92,,L900 Pro GPS,Įkraunama baterija,,,,,,Yra,Taip,Taip,Ultra 4K HD Mpix,Dronai,,,"0,23 x 0,18 x 0,08 m, 0,65 kg",,"Giroskopas, 					Wifi",Avernus Shop,,84165622,1 vnt.,Nenurodyta,"Nenurodyta, taip dronai",25 min.,Yra,,,Dronas,"Išmaniuoju įrenginiu, 					            Nuotolinio valdymo pultu",1500 m,Visos Nenurodyta prekės,
183,145.51,Carrera,Carrera,,,,,,,Yra,Taip,Taip,,Dronai,,,"0,25 x 0,25 x 0,25 m, 2 kg",,,Akero lab,,84303540,1 vnt.,Carrera,"Carrera, taip dronai",12 min.,Yra,,,Dronas,Nuotolinio valdymo pultu,30 m,Visos Carrera prekės,
184,39.99,Syma,Syma RC X20P,,,,,,,Nenurodyta,Ne,Ne,,Dronai,,,"0,2 x 0,15 x 0,1 m, 0,5 kg",,,EasyShop,,89749715,1 vnt.,Syma,"Syma, ne dronai",5 min.,Yra,,,Dronas,Nuotolinio valdymo pultu,20 m,Visos Syma prekės,
185,34.99,RC,JJRC RC H36 Mini,,,,,,,Nenurodyta,Ne,Ne,,Dronai,,,"0,1 x 0,15 x 0,15 m, 0,5 kg",,,"Urmo Kaina, 					            EasyShop",,89751090,1 vnt.,Rc,"Rc, ne dronai",5 min.,Yra,,,Dronas,Nuotolinio valdymo pultu,30 m,Visos RC prekės,
186,159.99,Syma,Syma Z6 PRO,,,,,,,Yra,Ne,Taip,,Dronai,,,"0,09 x 0,27 x 0,23 m, 0,5 kg",,,Urmo Kaina,,89751125,1 vnt.,Syma,"Syma, taip dronai",25 min.,Nenurodyta,,,Dronas,Nuotolinio valdymo pultu,450 m,Visos Syma prekės,
187,62.57,Syma,Syma X23W,,,,,,,Nenurodyta,Ne,Taip,,Dronai,,,"0,25 x 0,25 x 0,1 m, 0,4 kg",,,Urmo Kaina,,89751230,1 vnt.,Syma,"Syma, taip dronai",8 min.,Yra,,,Dronas,Nuotolinio valdymo pultu,20 m,Visos Syma prekės,
188,-1.0,Hover Air,HoverAir X1,,,,,,,Nėra,Ne,Taip,,Dronai,,,"0,1 x 0,1 x 0,1 m, 650 kg",,,"Pigu.lt, 					            Trajektorija, 					            Kouket, 					            Vitalimax, 					            Digitooted OÜ",,89923995,1 vnt.,Hover Air,"Hover Air, taip dronai",- min.,Yra,,,Dronas,Nenurodyta,30 m,Visos Hover Air prekės,
189,762.64,DJI,DJI Mini 3 Fly More Combo (DJI RC 2024),,,,,,,Yra,Ne,Taip,12 Mpix,Dronai,,,"0,24 x 0,15 x 0,07 m, 0,45 kg",,,"Galador Grupp OÜ, 					            Digizone, 					            Avesa Trade",,90437350,1 vnt.,DJI,"DJI, taip dronai",38 min.,Yra,249 g,2453 mAh,Dronas,Nuotolinio valdymo pultu,10000 m,Visos DJI prekės,
190,394.0,Fimi,Fimi X8 Mini 3 Standard,,,,,,,Yra,Ne,Taip,,Dronai,,,"0,2 x 0,2 x 0,29 m, 1,2 kg",,,"Pigu.lt, 					            ABC Žaislai, 					            Fusion Store., 					            Avesa Trade",,91119880,1 vnt.,Fimi,"Fimi, taip dronai",32 min.,Yra,,,Dronas,Nuotolinio valdymo pultu,-,Visos Fimi prekės,
191,36.44,Syma,Syma X26,,,,,,,Nėra,Ne,Nenurodyta,,Dronai,,,"0,5 x 0,3 x 0,2 m, 0,2 kg",,,"Urmo Kaina, 					            EasyShop",,91965845,1 vnt.,Syma,,6 min.,Nenurodyta,,,Dronas,Nuotolinio valdymo pultu,30 m,Visos Syma prekės,
192,33.6,Skytech,Skytech TK109H,,,,,,,Nėra,Ne,Nenurodyta,,Dronai,,,"0,7 x 0,36 x 0,12 m, 1,2 kg",,,SDC Distribution,,93434362,1 vnt.,Skytech,,8 min.,Nenurodyta,,,Dronas,Nuotolinio valdymo pultu,50 m,Visos Skytech prekės,
193,1590.0,DJI,Dronas DJI Air 3S Fly More Combo with DJI RC 2,,,,,,,Yra,Ne,Taip,,Dronai,,,"0,6 x 0,36 x 0,19 m, 2,8 kg",,,TechMarket,,99125537,1 vnt.,DJI,"DJI, taip dronai",45 min.,Yra,724 g,,Dronas,Nuotolinio valdymo pultu,20000 m,Visos DJI prekės,
194,-1.0,DJI,DJI Mini 4 Pro Fly More Combo (DJI RC 2),Įkraunama baterija,,,,Li-Polymer,-10 +40,Yra,Taip,Taip,Ultra 4K HD Mpix,Dronai,57600 m/h,,"0,4 x 0,6 x 0,18 m, 1,5 kg",,,ODEONS L,,100527486,1 vnt.,DJI,"DJI, taip dronai",34 min.,Yra,,2600 mAh,Dronas,Nuotolinio valdymo pultu,18000 m,Visos DJI prekės,7.4 V
