,id,brand,price,Vaizdo raiška,Combined_Laikas,Combined_Atstumas,Combined_Talpa,Combined_Stabilization,Combined_gps,Combined_svoris
91,92,,,,15 min.,100 m,,Yra,Yra,2
92,93,Parrot,23€,,,,,,,0.08
93,94,DJI,,,,,,,,
94,95,Parrot,408€,,32 minutes,,6800,,taip,6.3 898
95,96,DJI,,,,,,,,0.000000
96,97,Chasing,,,,,,,,9.2
97,98,Chasing,101€,,,,,,,2.8
98,99,Chasing,160€,,,,,,,10.3
99,100,,,,,,,,,1.00
100,101,,,,,,,,,1.00
101,102,,,,,,,,,0.50
102,103,Parrot,,,32 minutes,,3400,Taip,Taip,4.5 500
103,104,DJI,106€,[4K UHD] 3840 × 2160 60p,45 minutes,,4276 mAh,3 ašių (3-axis),,247 g 724
104,105,Parrot,8€,,,,,,,0.02
105,106,DJI,404€,,,,,,,
106,107,Chasing,,,,,,,,3.7
107,108,DJI,1340€,[4K UHD] 3840 × 2160 60p,45 minutes,,4276 mAh,3 ašių (3-axis),,247 g 724
108,109,DJI,,,,,,,,
