U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0011024 ; 13.7806125 ; 16.536735
1.1766667 ; 0.0007175 ; 8.969255 ; 10.5538234
1.1533333 ; 0.0004169 ; 5.2118188 ; 6.0109643
1.13 ; 0.0001828 ; 2.28505 ; 2.5821065
1.1066667 ; 4.07e-05 ; 0.5084359 ; 0.562669
1.0833333 ; -0.0001342 ; -1.6772925 ; -1.8170669
1.06 ; -0.0002533 ; -3.1664888 ; -3.3564781
1.0366667 ; -0.0003473 ; -4.3416763 ; -4.500871
1.0133333 ; -0.0004268 ; -5.3350075 ; -5.4061409
0.99 ; -0.0004984 ; -6.23004 ; -6.1677396
0.9666667 ; -0.000556 ; -6.9505087 ; -6.7188251
0.9433333 ; -0.0006078 ; -7.598075 ; -7.1675174
0.92 ; -0.00065 ; -8.1250662 ; -7.4750609
0.8966667 ; -0.0006874 ; -8.5927863 ; -7.704865
0.8733333 ; -0.0007197 ; -8.99636 ; -7.8568211
0.85 ; -0.0007482 ; -9.352605 ; -7.9497142
0.8266667 ; -0.000773 ; -9.6619912 ; -7.9872461
0.8033333 ; -0.0007973 ; -9.965805 ; -8.0058633
0.78 ; -0.000817 ; -10.21224 ; -7.9655472
0.7566667 ; -0.0008381 ; -10.4757162 ; -7.9266253
0.7333333 ; -0.0008538 ; -10.6725912 ; -7.8265669
0.71 ; -0.0008733 ; -10.9158888 ; -7.750281
0.6866667 ; -0.0008882 ; -11.10229 ; -7.6235725
0.6633333 ; -0.0009001 ; -11.25118 ; -7.4632827
0.64 ; -0.0009197 ; -11.496865 ; -7.3579936
0.6166667 ; -0.0009264 ; -11.5805962 ; -7.1413677
0.5933333 ; -0.0009445 ; -11.8058375 ; -7.0047969
0.57 ; -0.0009547 ; -11.9337687 ; -6.8022482
0.5466667 ; -0.0009677 ; -12.0968363 ; -6.6129371
0.5233333 ; -0.0009794 ; -12.2430575 ; -6.4072001
0.5 ; -0.0009908 ; -12.385235 ; -6.1926175
0.4766667 ; -0.000994 ; -12.4247863 ; -5.9224814
0.4533333 ; -0.0010085 ; -12.60595 ; -5.7146973
0.43 ; -0.0010233 ; -12.7909375 ; -5.5001031
0.4066667 ; -0.001032 ; -12.9003625 ; -5.2461474
0.3833333 ; -0.0010395 ; -12.9931375 ; -4.9807027
0.36 ; -0.0010478 ; -13.097025 ; -4.714929
0.3366667 ; -0.0010565 ; -13.206425 ; -4.4461631
0.3133333 ; -0.0010647 ; -13.308225 ; -4.1699105
0.29 ; -0.0010703 ; -13.3786 ; -3.879794
0.2666667 ; -0.0010761 ; -13.4517125 ; -3.5871233
0.2433333 ; -0.0010826 ; -13.5329625 ; -3.2930209
0.22 ; -0.0010956 ; -13.6950125 ; -3.0129027
0.1966667 ; -0.0010965 ; -13.706475 ; -2.6956067
0.1733333 ; -0.0011065 ; -13.83165 ; -2.397486
0.15 ; -0.0011161 ; -13.9516875 ; -2.0927531
0.1266667 ; -0.001125 ; -14.0623125 ; -1.7812262
0.1033333 ; -0.0011298 ; -14.122675 ; -1.4593431
0.08 ; -0.0011347 ; -14.1835875 ; -1.134687
0.0566667 ; -0.001137 ; -14.212175 ; -0.8053566
0.0333333 ; -0.0011418 ; -14.273025 ; -0.4757675
0.01 ; -0.001149 ; -14.3619625 ; -0.1436196
-0.0133333 ; -0.0011587 ; -14.4837 ; 0.193116
-0.0366667 ; -0.0011653 ; -14.5663375 ; 0.534099
-0.06 ; -0.0011678 ; -14.5971375 ; 0.8758283
-0.0833333 ; -0.001174 ; -14.6755375 ; 1.2229615
-0.1066667 ; -0.0011779 ; -14.7233625 ; 1.570492
-0.13 ; -0.001186 ; -14.825375 ; 1.9272988
-0.1533333 ; -0.0011908 ; -14.8853625 ; 2.2824223
-0.1766667 ; -0.0011934 ; -14.9169375 ; 2.6353256
-0.2 ; -0.0012035 ; -15.04355 ; 3.00871
