U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0009172 ; 13.1026829 ; 15.7232194
1.1766667 ; 0.0007414 ; 10.5914214 ; 12.4625725
1.1533333 ; 0.0006431 ; 9.1878071 ; 10.5966042
1.13 ; 0.0005636 ; 8.0511343 ; 9.0977817
1.1066667 ; 0.000495 ; 7.0707714 ; 7.824987
1.0833333 ; 0.0004337 ; 6.1961071 ; 6.7124494
1.06 ; 0.0003779 ; 5.3986914 ; 5.7226129
1.0366667 ; 0.0003261 ; 4.6587071 ; 4.8295264
1.0133333 ; 0.0002769 ; 3.9553386 ; 4.0080764
0.99 ; 0.0002277 ; 3.2521829 ; 3.219661
0.9666667 ; 0.0001816 ; 2.5944829 ; 2.5080001
0.9433333 ; 0.0001351 ; 1.93066 ; 1.8212559
0.92 ; 8.86e-05 ; 1.2652359 ; 1.164017
0.8966667 ; 3.97e-05 ; 0.5674333 ; 0.5087985
0.8733333 ; 2.6e-06 ; 0.0372177 ; 0.0325034
0.85 ; -5.8e-05 ; -0.828519 ; -0.7042411
0.8266667 ; -0.0001129 ; -1.61277 ; -1.3332232
0.8033333 ; -0.0001697 ; -2.4245829 ; -1.9477482
0.78 ; -0.0002269 ; -3.2414729 ; -2.5283488
0.7566667 ; -0.0002877 ; -4.11056 ; -3.1103237
0.7333333 ; -0.0003495 ; -4.9934243 ; -3.6618445
0.71 ; -0.0004119 ; -5.8840871 ; -4.1777019
0.6866667 ; -0.0004737 ; -6.7676771 ; -4.6471383
0.6633333 ; -0.0005379 ; -7.6844329 ; -5.0973405
0.64 ; -0.0005972 ; -8.53089 ; -5.4597696
0.6166667 ; -0.0006582 ; -9.4030214 ; -5.7985299
0.5933333 ; -0.0007165 ; -10.2359714 ; -6.073343
0.57 ; -0.0007759 ; -11.0844057 ; -6.3181113
0.5466667 ; -0.0008255 ; -11.7933371 ; -6.4470243
0.5233333 ; -0.0008783 ; -12.5467429 ; -6.5661288
0.5 ; -0.0009191 ; -13.13063 ; -6.565315
0.4766667 ; -0.0009686 ; -13.83763 ; -6.595937
0.4533333 ; -0.0010061 ; -14.3731929 ; -6.5158474
0.43 ; -0.0010427 ; -14.8959286 ; -6.4052493
0.4066667 ; -0.0010771 ; -15.3877286 ; -6.2576763
0.3833333 ; -0.0011028 ; -15.7543714 ; -6.0391757
0.36 ; -0.0011313 ; -16.1609143 ; -5.8179291
0.3366667 ; -0.0011533 ; -16.4762714 ; -5.5470114
0.3133333 ; -0.0011724 ; -16.7480143 ; -5.2477111
0.29 ; -0.0011916 ; -17.0227571 ; -4.9365996
0.2666667 ; -0.0012098 ; -17.2832571 ; -4.6088686
0.2433333 ; -0.001218 ; -17.3995143 ; -4.2338818
0.22 ; -0.0012212 ; -17.4456429 ; -3.8380414
0.1966667 ; -0.0012417 ; -17.7391571 ; -3.4887009
0.1733333 ; -0.0012503 ; -17.8613714 ; -3.095971
0.15 ; -0.0012574 ; -17.9629143 ; -2.6944371
0.1266667 ; -0.0012691 ; -18.1306286 ; -2.2965463
0.1033333 ; -0.0012732 ; -18.1887429 ; -1.8795034
0.08 ; -0.0012799 ; -18.2847 ; -1.462776
0.0566667 ; -0.001289 ; -18.4141857 ; -1.0434705
0.0333333 ; -0.0012936 ; -18.4805143 ; -0.6160171
0.01 ; -0.0013013 ; -18.5897143 ; -0.1858971
-0.0133333 ; -0.0013053 ; -18.6478429 ; 0.2486379
-0.0366667 ; -0.0013024 ; -18.6057571 ; 0.6822111
-0.06 ; -0.0013112 ; -18.7307857 ; 1.1238471
-0.0833333 ; -0.0013184 ; -18.8343857 ; 1.5695321
-0.1066667 ; -0.0013192 ; -18.8463857 ; 2.0102811
-0.13 ; -0.001324 ; -18.9137571 ; 2.4587884
-0.1533333 ; -0.0013303 ; -19.0036714 ; 2.9138963
-0.1766667 ; -0.0013308 ; -19.0116571 ; 3.3587261
-0.2 ; -0.0013416 ; -19.1661429 ; 3.8332286
